"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0.3	-14.8	0	0	0	0	0.006	49.187	0
19010102	0	-16.9	0	0	0	0	0.005	49.182	0
19010103	0	-17.6	0	0	0	0	0.005	49.177	0
19010104	0	-16	0	0	0	0	0.005	49.172	0
19010105	0.3	-17.5	0.3	0	0	0	0.005	49.167	0
19010106	0	-16.2	0.3	0	0	0	0.005	49.162	0
19010107	0	-11.6	0.3	0	0	0	0.005	49.157	0
19010108	0	-9.5	0.3	0	0	0	0.005	49.152	0
19010109	0.1	-10.1	0.4	0	0	0	0.005	49.147	0
19010110	0	-11.4	0.4	0	0	0	0.005	49.142	0
19010111	0.1	-8.8	0.5	0	0	0	0.005	49.137	0
19010112	0	-7.5	0.5	0	0	0	0.005	49.132	0
19010113	0	-10	0.5	0	0	0	0.005	49.127	0
19010114	0	-8.2	0.5	0	0	0	0.005	49.122	0
19010115	0	-8.9	0.5	0	0	0	0.005	49.117	0
19010116	0	-7	0.5	0	0	0	0.005	49.112	0
19010117	0	-9.1	0.5	0	0	0	0.005	49.107	0
19010118	0	-8.9	0.5	0	0	0	0.005	49.102	0
19010119	0.1	-7	0.6	0	0	0	0.005	49.097	0
19010120	4.1	-5.4	4.7	0	0	0	0.005	49.092	0
19010121	4.8	-1	9.5	0	0.179	0.033	0.005	49.054	0
19010122	1.1	0.4	10.6	0	0.245	0.045	0.005	49.004	0
19010123	0.1	-0.9	10.7	0	0.189	0.035	0.005	48.964	0
19010124	0	-2.9	10.7	0	0.098	0.018	0.005	48.941	0
19010125	1	0.1	11.7	0	0.241	0.044	0.005	48.892	0
19010126	6.6	-2.8	18.3	0	0.106	0.019	0.005	48.868	0
19010127	20.1	0	38.4	0	0.244	0.045	0.005	48.818	0
19010128	8.4	-3.7	46.8	0	0.064	0.012	0.005	48.801	0
19010129	0.8	-5.3	47.6	0	0	0	0.005	48.796	0
19010130	1.1	-6.2	48.7	0	0	0	0.005	48.791	0
19010131	0	-6.1	48.7	0	0	0	0.005	48.786	0
19010201	0.3	-5.5	49	0	0	0	0.005	48.781	0
19010202	6	-6.3	55	0	0	0	0.005	48.776	0
19010203	0.1	-7.8	55.1	0	0	0	0.005	48.771	0
19010204	0	-6.7	55.1	0	0	0	0.005	48.766	0
19010205	0.3	-4.7	55.4	0	0.017	0.003	0.005	48.758	0
19010206	2	-4.6	57.4	0	0.023	0.004	0.005	48.749	0
19010207	1	-5.8	58.4	0	0	0	0.005	48.744	0
19010208	3.2	-8.7	61.6	0	0	0	0.005	48.739	0
19010209	1.1	-5.5	62.7	0	0	0	0.005	48.734	0
19010210	2.1	-5.7	64.8	0	0	0	0.005	48.729	0
19010211	4	-9.3	68.8	0	0	0	0.005	48.724	0
19010212	1.9	-9.5	70.7	0	0	0	0.005	48.719	0
19010213	3.1	-11.5	73.8	0	0	0	0.005	48.714	0
19010214	0.1	-14.1	73.9	0	0	0	0.005	48.709	0
19010215	0.3	-14.8	74.2	0	0	0	0.005	48.704	0
19010216	3.4	-11.1	77.6	0	0	0	0.005	48.699	0
19010217	2.2	-8.1	79.8	0	0	0	0.005	48.694	0
19010218	0.6	-13.6	80.4	0	0	0	0.005	48.689	0
19010219	0.7	-16.3	81.1	0	0	0	0.005	48.684	0
19010220	0.9	-13.3	82	0	0	0	0.005	48.679	0
19010221	0	-12.6	82	0	0	0	0.005	48.674	0
19010222	0	-12.8	82	0	0	0	0.005	48.669	0
19010223	0.7	-8	82.7	0	0	0	0.005	48.664	0
19010224	0.5	-5.3	83.2	0	0	0	0.005	48.659	0
19010225	0.8	-3.1	84	0	0.147	0.027	0.005	48.627	0
19010226	0	-2.2	84	0	0.219	0.04	0.005	48.582	0
19010227	0	-3.2	84	0	0.143	0.026	0.005	48.551	0
19010228	0	0.1	84	0	0.412	0.075	0.005	48.471	0
19010301	0.1	-0.5	84.1	0	0.369	0.067	0.005	48.399	0
19010302	0.5	0.4	84.6	0	0.45	0.081	0.005	48.313	0
19010303	4	-1.3	88.6	0	0.313	0.056	0.005	48.252	0
19010304	1.1	-1	89.7	0	0.343	0.062	0.005	48.185	0
19010305	2.2	-0.7	91.9	0	0.374	0.067	0.005	48.113	0
