"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	3.3	-3.2	0	0	0.066	0.014	0.01	66.014	0
19200102	2.6	-5	2.6	0	0	0	0.01	66.004	0
19200103	5.8	-5.9	8.4	0	0	0	0.01	65.994	0
19200104	0	-5.2	8.4	0	0	0	0.01	65.984	0
19200105	0	-5.4	8.4	0	0	0	0.01	65.974	0
19200106	0	-7.8	8.4	0	0	0	0.01	65.964	0
19200107	0	-5.8	8.4	0	0	0	0.01	65.954	0
19200108	5.1	-3.9	13.5	0	0.043	0.009	0.01	65.935	0
19200109	6.2	-4.4	19.7	0	0.024	0.005	0.01	65.92	0
19200110	3.7	-6.1	23.4	0	0	0	0.01	65.91	0
19200111	4.8	-0.3	28.2	0	0.189	0.041	0.01	65.859	0
19200112	10.9	0.6	39.1	0	0.227	0.049	0.01	65.8	0
19200113	3.3	0.8	42.4	0	0.238	0.052	0.01	65.738	0
19200114	5.1	-2.7	47.5	0	0.095	0.021	0.01	65.707	0
19200115	0	-9	47.5	0	0	0	0.01	65.697	0
19200116	0	-8.7	47.5	0	0	0	0.01	65.687	0
19200117	2.6	-0.1	50.1	0	0.211	0.046	0.01	65.631	0
19200118	0	1.4	48.86	1.24	0.279	0.06	0.009	66.802	0
19200119	4.5	-1.6	53.36	0	0.15	0.033	0.011	66.758	0
19200120	0	-5.5	53.36	0	0	0	0.011	66.747	0
19200121	0	-5.4	53.36	0	0	0	0.011	66.736	0
19200122	0	-6.1	53.36	0	0	0	0.011	66.725	0
19200123	0	-7.8	53.36	0	0	0	0.011	66.714	0
19200124	0	-10.8	53.36	0	0	0	0.011	66.703	0
19200125	0	-8.8	53.36	0	0	0	0.011	66.692	0
19200126	0	-5.1	53.36	0	0	0	0.011	66.681	0
19200127	1.7	-9.8	55.06	0	0	0	0.011	66.67	0
19200128	0	-8.1	55.06	0	0	0	0.011	66.659	0
19200129	0	-10.9	55.06	0	0	0	0.011	66.648	0
19200130	0	-10.7	55.06	0	0	0	0.011	66.637	0
19200131	0	-7.9	55.06	0	0	0	0.011	66.626	0
19200201	9.3	-7.3	64.36	0	0	0	0.011	66.615	0
19200202	0	-4.8	64.36	0	0.011	0.002	0.011	66.602	0
19200203	0	-3	64.36	0	0.11	0.024	0.011	66.567	0
19200204	0	-3	64.36	0	0.112	0.025	0.011	66.531	0
19200205	0	-6.1	64.36	0	0	0	0.01	66.521	0
19200206	0	-8	64.36	0	0	0	0.01	66.511	0
19200207	0	-9.2	64.36	0	0	0	0.01	66.501	0
19200208	0	-9.5	64.36	0	0	0	0.01	66.491	0
19200209	0	-9.4	64.36	0	0	0	0.01	66.481	0
19200210	18	-3.8	82.36	0	0.074	0.016	0.01	66.455	0
19200211	5.2	-3.8	87.56	0	0.075	0.017	0.01	66.428	0
19200212	0	-5.9	87.56	0	0	0	0.01	66.418	0
19200213	0	-5.5	87.56	0	0	0	0.01	66.408	0
19200214	4.8	-5.4	92.36	0	0	0	0.01	66.398	0
19200215	0	-4.4	92.36	0	0.04	0.009	0.01	66.379	0
19200216	0	-8.5	92.36	0	0	0	0.01	66.369	0
19200217	0	-4.8	92.36	0	0.014	0.003	0.01	66.356	0
19200218	0	-3.5	92.36	0	0.105	0.023	0.01	66.323	0
19200219	0	-5.3	92.36	0	0	0	0.01	66.313	0
19200220	0	-4.3	92.36	0	0.05	0.011	0.01	66.292	0
19200221	0	-4.2	92.36	0	0.058	0.013	0.01	66.269	0
19200222	0	-2.8	92.36	0	0.163	0.036	0.01	66.223	0
19200223	0	-4.1	92.36	0	0.068	0.015	0.01	66.198	0
19200224	0	-3.4	92.36	0	0.122	0.027	0.01	66.161	0
19200225	0	-3.5	92.36	0	0.117	0.026	0.01	66.125	0
19200226	0	-5.5	92.36	0	0	0	0.01	66.115	0
19200227	9.4	0.8	101.76	0	0.465	0.102	0.01	66.003	0
19200228	0	-7	101.76	0	0	0	0.01	65.993	0
19200229	0	-1.5	101.76	0	0.289	0.063	0.01	65.92	0
19200301	0	1.2	101.14	0.62	0.52	0.113	0.01	66.417	0
19200302	0	0	101.14	0	0.425	0.094	0.01	66.313	0
19200303	0	-1.7	101.14	0	0.285	0.063	0.01	66.24	0
19200304	0	1.2	100.52	0.62	0.543	0.119	0.01	66.731	0
19200305	0	2.6	95.58	4.94	0.675	0.15	0.011	71.51	0
19200306	0	3.5	87.86	7.72	0.766	0.188	0.018	79.024	0
19200307	0	8.3	65.3	22.56	1.216	0.342	0.035	101.207	0
19200308	0	6.7	47.69	17.61	1.085	0.422	0.176	118.219	0
19200309	0	-3.5	47.69	0	0.141	0.066	0.46	117.693	0
19200310	8.9	-5.1	56.59	0	0	0	0.448	117.245	0
19200311	8.3	-5.8	64.89	0	0	0	0.437	116.808	0
19200312	8.2	-5.9	73.09	0	0	0	0.427	116.381	0
19200313	6.6	-6.1	79.69	0	0	0	0.418	115.963	0
19200314	7.2	-6.4	86.89	0	0	0	0.409	115.554	0
19200315	0	-4.1	86.89	0	0.092	0.042	0.4	115.112	0
19200316	0	0.1	86.89	0	0.526	0.24	0.391	114.481	0
19200317	0	-0.4	86.89	0	0.481	0.218	0.378	113.885	0
19200318	0	1.7	84.73	2.16	0.709	0.319	0.366	115.36	0
19200319	3.4	0	88.13	0	0.536	0.245	0.396	114.719	0
19200320	0	-1	88.13	0	0.434	0.197	0.383	114.139	0
19200321	0	-0.4	88.13	0	0.505	0.228	0.371	113.54	0
19200322	0	-1	88.13	0	0.445	0.199	0.359	112.982	0
19200323	0	-1.4	88.13	0	0.405	0.18	0.349	112.453	0
19200324	0	-2.1	88.13	0	0.33	0.146	0.339	111.968	0
19200325	0	1.3	87.2	0.93	0.726	0.32	0.33	112.248	0
19200326	0	-1.2	87.2	0	0.443	0.196	0.335	111.717	0
19200327	0	1.6	85.35	1.85	0.778	0.342	0.326	112.899	0
19200328	4.7	3.5	82.33	7.72	1.013	0.451	0.347	119.821	0
19200329	0	0.6	82.33	0	0.675	0.323	0.499	118.999	0
19200330	0	1.2	81.71	0.62	0.755	0.358	0.479	118.782	0
19200331	0	1.1	81.4	0.31	0.751	0.356	0.473	118.263	0
19200401	20.1	1.7	97.3	4.2	0.834	0.393	0.461	121.609	0
19200402	1.7	2	95.91	3.09	0.88	0.429	0.546	123.724	0
