"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0.5	-16.8	0	0	0	0	0	114.174	0
19010102	0	-17.2	0	0	0	0	0	114.174	0
19010103	0.4	-18.1	0.4	0	0	0	0	114.174	0
19010104	0.4	-17.1	0.8	0	0	0	0	114.174	0
19010105	0.2	-17.7	1	0	0	0	0	114.174	0
19010106	0.4	-17.2	1.4	0	0	0	0	114.174	0
19010107	0.2	-12.4	1.6	0	0	0	0	114.174	0
19010108	0.1	-6.3	1.7	0	0	0	0	114.174	0
19010109	0	-5.3	1.7	0	0	0	0	114.174	0
19010110	0	-6.1	1.7	0	0	0	0	114.174	0
19010111	0.4	-5.4	2.1	0	0	0	0	114.174	0
19010112	0.1	-9.2	2.2	0	0	0	0	114.174	0
19010113	0	-6.9	2.2	0	0	0	0	114.174	0
19010114	0	-9.3	2.2	0	0	0	0	114.174	0
19010115	0	-9.8	2.2	0	0	0	0	114.174	0
19010116	0	-5.2	2.2	0	0	0	0	114.174	0
19010117	0	-2.9	2.2	0	0.084	0.008	0	114.166	0
19010118	0	-5	2.2	0	0	0	0	114.166	0
19010119	0	-5.2	2.2	0	0	0	0	114.166	0
19010120	3.6	-5.1	5.8	0	0	0	0	114.166	0
19010121	5.6	-3.4	11.4	0	0.068	0.006	0	114.16	0
19010122	1.3	-1.4	12.7	0	0.154	0.015	0	114.145	0
19010123	0.3	-2	13	0	0.13	0.012	0	114.133	0
19010124	0	-3.7	13	0	0.057	0.005	0	114.128	0
19010125	0.7	-2	13.7	0	0.134	0.013	0	114.115	0
19010126	5.3	-1.8	19	0	0.146	0.014	0	114.101	0
19010127	19.1	-1.8	38.1	0	0.148	0.014	0	114.087	0
19010128	9	-5.9	47.1	0	0	0	0	114.087	0
19010129	3.2	-7.4	50.3	0	0	0	0	114.087	0
19010130	0.5	-9	50.8	0	0	0	0	114.087	0
19010131	0.1	-7.9	50.9	0	0	0	0	114.087	0
19010201	0.4	-7.7	51.3	0	0	0	0	114.087	0
19010202	6.6	-3.8	57.9	0	0.061	0.006	0	114.081	0
19010203	0.3	-6.7	58.2	0	0	0	0	114.081	0
19010204	0.1	-4.8	58.3	0	0.011	0.001	0	114.08	0
19010205	2.6	-2.5	60.9	0	0.134	0.013	0	114.067	0
19010206	1	-2.5	61.9	0	0.136	0.013	0	114.054	0
19010207	0.6	-4.8	62.5	0	0.011	0.001	0	114.053	0
19010208	1.8	-6.3	64.3	0	0	0	0	114.053	0
19010209	0.8	-6.8	65.1	0	0	0	0	114.053	0
19010210	2.1	-8.2	67.2	0	0	0	0	114.053	0
19010211	1.7	-13.3	68.9	0	0	0	0	114.053	0
19010212	1.9	-14.3	70.8	0	0	0	0	114.053	0
19010213	0.6	-15.2	71.4	0	0	0	0	114.053	0
19010214	0.8	-14.9	72.2	0	0	0	0	114.053	0
19010215	0.2	-16.9	72.4	0	0	0	0	114.053	0
19010216	0.9	-15.3	73.3	0	0	0	0	114.053	0
19010217	1.8	-13.6	75.1	0	0	0	0	114.053	0
19010218	0.4	-15.1	75.5	0	0	0	0	114.053	0
19010219	1	-15.3	76.5	0	0	0	0	114.053	0
19010220	2.4	-12.4	78.9	0	0	0	0	114.053	0
19010221	0.3	-17	79.2	0	0	0	0	114.053	0
19010222	0.2	-10.5	79.4	0	0	0	0	114.053	0
19010223	1.9	-9.1	81.3	0	0	0	0	114.053	0
19010224	1.2	-7.6	82.5	0	0	0	0	114.053	0
19010225	1.1	-6.4	83.6	0	0	0	0	114.053	0
19010226	0	-3.6	83.6	0	0.106	0.01	0	114.043	0
19010227	0.2	-4.9	83.8	0	0.008	0.001	0	114.042	0
19010228	0.4	-4.3	84.2	0	0.055	0.005	0	114.037	0
19010301	1.3	-3.5	85.5	0	0.119	0.011	0	114.026	0
19010302	0.1	-0.9	85.6	0	0.332	0.032	0	113.994	0
