"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	4.2	0.6	0	0	0.206	-0.03	0	13.1307692307692	0
19200102	0.9	-0.4	0.9	0	0.171	0	0	13.1307692307692	0
19200103	0	-0.7	0.9	0	0.161	0	0	13.1307692307692	0
19200104	0	-1.9	0.9	0	0.117	0	0	13.1307692307692	0
19200105	0	-2.4	0.9	0	0.099	0	0	13.1307692307692	0
19200106	0	-4.2	0.9	0	0.031	0	0	13.1307692307692	0
19200107	0	-2.8	0.9	0	0.085	0	0	13.1307692307692	0
19200108	4.5	-1	5.4	0	0.156	0	0	13.1307692307692	0
19200109	5	0.2	10.4	0	0.204	0	0	13.1307692307692	0
19200110	2.8	-2	13.2	0	0.119	0	0	13.1307692307692	0
19200111	3.7	1.6	15.05	1.85	0.264	0	0	14.981	0
19200112	7.9	3.2	9.75	13.2	0.332	0.011	0	28.17	0
19200113	3.4	4.5	0	13.15	0.389	0.106	0.006	41.208	0
19200114	3.7	2.4	0	3.7	0.306	0.156	0.133	44.619	0
19200115	0	-3.2	0	0	0.075	0.043	0.236	44.34	0
19200116	0	-4.6	0	0	0.017	0.01	0.226	44.104	0
19200117	4.1	1	4.1	0	0.258	0.145	0.218	43.741	0
19200118	0	3.1	0	4.1	0.352	0.196	0.205	47.44	0
19200119	3.4	0.8	3.4	0	0.256	0.16	0.363	46.917	0
19200120	1	0.9	4.4	0	0.263	0.162	0.336	46.419	0
19200121	0	-1.5	4.4	0	0.158	0.096	0.312	46.011	0
19200122	0	-0.8	4.4	0	0.193	0.115	0.293	45.603	0
19200123	0	-4	4.4	0	0.047	0.028	0.276	45.299	0
19200124	0	-6.8	4.4	0	0	0	0.263	45.036	0
19200125	0	-6.6	4.4	0	0	0	0.252	44.784	0
19200126	0	-3.9	4.4	0	0.053	0.031	0.242	44.511	0
19200127	1.6	-6.8	6	0	0	0	0.232	44.279	0
19200128	0	-5.8	6	0	0	0	0.224	44.055	0
19200129	0	-8.3	6	0	0	0	0.216	43.839	0
19200130	0	-7	6	0	0	0	0.208	43.631	0
19200131	0	-5.4	6	0	0	0	0.201	43.43	0
19200201	8.5	-3.7	14.5	0	0.069	0.038	0.195	43.197	0
19200202	0	-1.6	14.5	0	0.184	0.101	0.187	42.909	0
19200203	0	-1.9	14.5	0	0.17	0.092	0.179	42.638	0
19200204	0	-2.5	14.5	0	0.139	0.075	0.171	42.392	0
19200205	0	-4.1	14.5	0	0.051	0.027	0.164	42.201	0
19200206	0	-4.8	14.5	0	0.012	0.006	0.158	42.037	0
19200207	0	-5.6	14.5	0	0	0	0.154	41.883	0
19200208	0	-5.3	14.5	0	0	0	0.15	41.733	0
19200209	0	-6.7	14.5	0	0	0	0.146	41.587	0
19200210	14.5	-1.7	29	0	0.202	0.105	0.142	41.34	0
19200211	3	1.3	31.07	0.93	0.393	0.202	0.136	41.932	0
19200212	0	-0.2	31.07	0	0.304	0.159	0.151	41.622	0
19200213	0	-2	31.07	0	0.193	0.1	0.143	41.379	0
19200214	4.4	-1.9	35.47	0	0.203	0.104	0.137	41.138	0
19200215	0	-1.8	35.47	0	0.213	0.109	0.132	40.897	0
19200216	0	-5.4	35.47	0	0	0	0.126	40.771	0
19200217	0	-3.1	35.47	0	0.13	0.065	0.123	40.583	0
19200218	0	-2.8	35.47	0	0.153	0.076	0.119	40.388	0
19200219	0	-3.1	35.47	0	0.134	0.066	0.115	40.207	0
19200220	0	-2.5	35.47	0	0.18	0.089	0.111	40.007	0
19200221	0	-2.7	35.47	0	0.168	0.082	0.107	39.818	0
19200222	0	-1.3	35.47	0	0.274	0.133	0.103	39.582	0
19200223	0	-1.3	35.47	0	0.279	0.134	0.099	39.349	0
19200224	0	-1	35.47	0	0.306	0.146	0.095	39.108	0
19200225	0	-0.4	35.47	0	0.357	0.169	0.09	38.849	0
19200226	0	-1.6	35.47	0	0.268	0.125	0.086	38.638	0
