"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	3.7	-3.2	0	0	0.065	0.006	0	33.289	0
19200102	1.7	-5.3	1.7	0	0	0	0	33.289	0
19200103	0	-6.2	1.7	0	0	0	0	33.289	0
19200104	0	-5.1	1.7	0	0	0	0	33.289	0
19200105	0	-5.4	1.7	0	0	0	0	33.289	0
19200106	0	-8.6	1.7	0	0	0	0	33.289	0
19200107	0	-6.7	1.7	0	0	0	0	33.289	0
19200108	5.4	-4.3	7.1	0	0.027	0.002	0	33.287	0
19200109	6.2	-4.7	13.3	0	0.012	0.001	0	33.286	0
19200110	4.2	-6.3	17.5	0	0	0	0	33.286	0
19200111	5.3	-1.1	22.8	0	0.153	0.013	0	33.273	0
19200112	10	-0.4	32.8	0	0.183	0.016	0	33.257	0
19200113	2.7	-0.2	35.5	0	0.193	0.017	0	33.24	0
19200114	5.9	-2.9	41.4	0	0.085	0.007	0	33.233	0
19200115	0	-9.6	41.4	0	0	0	0	33.233	0
19200116	0	-9.9	41.4	0	0	0	0	33.233	0
19200117	2.8	-0.8	44.2	0	0.177	0.016	0	33.217	0
19200118	0	0.8	44.2	0	0.248	0.022	0	33.195	0
19200119	4.7	-2.4	48.9	0	0.113	0.01	0	33.185	0
19200120	1	-5.8	49.9	0	0	0	0	33.185	0
19200121	0	-5.4	49.9	0	0	0	0	33.185	0
19200122	0	-5.9	49.9	0	0	0	0	33.185	0
19200123	0	-8.2	49.9	0	0	0	0	33.185	0
19200124	0	-11.3	49.9	0	0	0	0	33.185	0
19200125	0	-9.6	49.9	0	0	0	0	33.185	0
19200126	0	-5.8	49.9	0	0	0	0	33.185	0
19200127	1.5	-10.7	51.4	0	0	0	0	33.185	0
19200128	0	-9.5	51.4	0	0	0	0	33.185	0
19200129	0	-12.3	51.4	0	0	0	0	33.185	0
19200130	0	-11.5	51.4	0	0	0	0	33.185	0
19200131	0	-8.7	51.4	0	0	0	0	33.185	0
19200201	10	-8.1	61.4	0	0	0	0	33.185	0
19200202	0	-5.5	61.4	0	0	0	0	33.185	0
19200203	0	-3.6	61.4	0	0.076	0.007	0	33.178	0
19200204	0	-2.9	61.4	0	0.116	0.01	0	33.168	0
