"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0	-11.4	0	0	0	0	0.519	140.221	0
19010102	0	-13.4	0	0	0	0	0.504	139.717	0
19010103	0	-13.7	0	0	0	0	0.49	139.227	0
19010104	0	-13.8	0	0	0	0	0.476	138.751	0
19010105	0	-13.6	0	0	0	0	0.464	138.287	0
19010106	0	-13.1	0	0	0	0	0.451	137.836	0
19010107	0	-10.4	0	0	0	0	0.44	137.396	0
19010108	0	-4.7	0	0	0.01	0.004	0.429	136.963	0
19010109	0	-5.2	0	0	0	0	0.418	136.545	0
19010110	0	-5.8	0	0	0	0	0.408	136.137	0
19010111	0	-6.1	0	0	0	0	0.398	135.739	0
19010112	0	-7	0	0	0	0	0.389	135.35	0
19010113	0	-6.5	0	0	0	0	0.38	134.97	0
19010114	0	-7.7	0	0	0	0	0.371	134.599	0
19010115	0	-8.1	0	0	0	0	0.363	134.236	0
19010116	0	-5.9	0	0	0	0	0.355	133.881	0
19010117	0	-9.7	0	0	0	0	0.348	133.533	0
19010118	0	-10.4	0	0	0	0	0.34	133.193	0
19010119	0.3	-7.9	0.3	0	0	0	0.333	132.86	0
19010120	2.4	-2	2.7	0	0.119	0.042	0.327	132.491	0
19010121	2	3.5	0	4.7	0.341	0.12	0.319	136.752	0
19010122	0.6	4.2	0	0.6	0.375	0.139	0.413	136.8	0
19010123	0	3.1	0	0	0.336	0.124	0.414	136.262	0
19010124	0	1.1	0	0	0.257	0.095	0.401	135.766	0
19010125	0.6	2.4	0	0.6	0.316	0.116	0.389	135.861	0
19010126	8.6	1.3	0	8.6	0.274	0.1	0.392	143.969	0
19010127	17.6	2.7	0	17.6	0.34	0.136	0.62	160.813	0
19010128	5.1	0.9	5.1	0	0.265	0.126	1.435	159.252	0
19010129	1.4	-1.2	6.5	0	0.174	0.081	1.335	157.836	0
19010130	0.3	-1.5	6.8	0	0.163	0.075	1.25	156.511	0
19010131	0	-2	6.8	0	0.142	0.065	1.174	155.272	0
19010201	1.5	-1.5	8.3	0	0.168	0.076	1.106	154.09	0
19010202	14.9	-1.7	23.2	0	0.161	0.072	1.044	152.974	0
19010203	0	-3.5	23.2	0	0.075	0.033	0.988	151.953	0
19010204	0	-2.6	23.2	0	0.121	0.053	0.94	150.96	0
19010205	6	-1	29.2	0	0.206	0.089	0.894	149.977	0
19010206	0.6	-0.7	29.8	0	0.225	0.096	0.85	149.031	0
19010207	0	-2.3	29.8	0	0.144	0.061	0.81	148.16	0
19010208	0	-3.8	29.8	0	0.065	0.027	0.775	147.358	0
19010209	0.8	-1.3	30.6	0	0.204	0.085	0.743	146.53	0
19010210	6	-1.8	36.6	0	0.18	0.074	0.711	145.745	0
19010211	2.2	-5.2	38.8	0	0	0	0.682	145.063	0
19010212	2.2	-6.4	41	0	0	0	0.658	144.405	0
19010213	0.3	-9	41.3	0	0	0	0.635	143.77	0
19010214	0.2	-10	41.5	0	0	0	0.614	143.156	0
