"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0	-13.5	0	0	0	0	4.167	136.571	0
19010102	0	-15	0	0	0	0	3.277	133.294	0
19010103	0	-15.6	0	0	0	0	2.69	130.604	0
19010104	0	-15.7	0	0	0	0	2.274	128.33	0
19010105	0	-14.2	0	0	0	0	1.964	126.366	0
19010106	0	-12.8	0	0	0	0	1.724	124.642	0
19010107	0	-11.3	0	0	0	0	1.534	123.108	0
19010108	0	-6.5	0	0	0	0	1.379	121.729	0
19010109	0	-6.5	0	0	0	0	1.25	120.479	0
19010110	0	-6.1	0	0	0	0	1.142	119.337	0
19010111	0	-5.8	0	0	0	0	1.05	118.287	0
19010112	0	-7	0	0	0	0	0.971	117.316	0
19010113	0	-6.3	0	0	0	0	0.902	116.414	0
19010114	0	-7.2	0	0	0	0	0.842	115.572	0
19010115	0	-8.2	0	0	0	0	0.788	114.784	0
19010116	0	-5.1	0	0	0	0	0.74	114.044	0
19010117	0	-9.9	0	0	0	0	0.698	113.346	0
19010118	0	-10.3	0	0	0	0	0.66	112.686	0
19010119	0.2	-8.3	0.2	0	0	0	0.625	112.061	0
19010120	1.5	-1.2	1.7	0	0.153	0.04	0.593	111.428	0
19010121	2.4	1.7	0	4.1	0.274	0.071	0.563	114.894	0
19010122	0.8	2.9	0	0.8	0.328	0.09	0.747	114.857	0
19010123	0	2.1	0	0	0.299	0.082	0.745	114.03	0
19010124	0	1.2	0	0	0.266	0.072	0.697	113.261	0
19010125	0.3	2.1	0	0.3	0.309	0.083	0.655	112.823	0
19010126	5.1	0.8	5.1	0	0.256	0.068	0.632	112.123	0
19010127	16.7	0.9	21.8	0	0.265	0.07	0.597	111.456	0
19010128	3.7	-0.2	25.5	0	0.219	0.057	0.564	110.835	0
19010129	1.3	-1.7	26.8	0	0.153	0.039	0.535	110.261	0
19010130	0.2	-3.1	27	0	0.09	0.023	0.51	109.728	0
19010131	0	-2.5	27	0	0.12	0.03	0.487	109.211	0
19010201	1.1	-2.2	28.1	0	0.137	0.034	0.466	108.711	0
19010202	11.9	-2.9	40	0	0.104	0.026	0.446	108.239	0
19010203	0	-2.8	40	0	0.111	0.027	0.427	107.785	0
19010204	0.8	-3.1	40.8	0	0.098	0.024	0.41	107.351	0
19010205	4	-2	44.8	0	0.157	0.038	0.395	106.918	0
19010206	1.1	-0.8	45.9	0	0.223	0.053	0.38	106.485	0
19010207	0.1	-3.3	46	0	0.092	0.022	0.365	106.098	0
19010208	0.1	-3.7	46.1	0	0.072	0.017	0.352	105.729	0
19010209	0.3	-2.2	46.4	0	0.157	0.037	0.34	105.352	0
19010210	3.7	-3.6	50.1	0	0.08	0.019	0.329	105.004	0
19010211	1.6	-6.4	51.7	0	0	0	0.318	104.686	0
19010212	2.2	-5.9	53.9	0	0	0	0.309	104.377	0
19010213	0.2	-9.6	54.1	0	0	0	0.3	104.077	0
19010214	0.1	-11.4	54.2	0	0	0	0.291	103.786	0
19010215	0.1	-10.6	54.3	0	0	0	0.283	103.503	0
19010216	2.3	-9.2	56.6	0	0	0	0.276	103.227	0
19010217	0.8	-9.1	57.4	0	0	0	0.268	102.959	0
19010218	0	-12.3	57.4	0	0	0	0.261	102.698	0
19010219	0.1	-14.2	57.5	0	0	0	0.255	102.443	0
19010220	0.6	-10.7	58.1	0	0	0	0.248	102.195	0
19010221	0.1	-12.7	58.2	0	0	0	0.242	101.953	0
19010222	0	-11.9	58.2	0	0	0	0.237	101.716	0
19010223	1.3	-5.5	59.5	0	0	0	0.231	101.485	0
19010224	1.5	-2.3	61	0	0.195	0.042	0.226	101.217	0
19010225	2.7	-1.8	63.7	0	0.235	0.05	0.22	100.947	0
19010226	0.1	0	63.8	0	0.373	0.08	0.214	100.653	0
19010227	0	-0.8	63.8	0	0.319	0.068	0.207	100.378	0
19010228	0.9	1.6	62.85	1.85	0.509	0.107	0.202	101.919	0
19010301	1.1	1.9	61.17	2.78	0.541	0.118	0.236	104.345	0
19010302	0.4	1.3	60.64	0.93	0.501	0.114	0.299	104.862	0
19010303	3	0.6	63.64	0	0.453	0.105	0.314	104.443	0
19010304	0.5	1.5	62.6	1.54	0.534	0.122	0.302	105.559	0
19010305	3.3	1.8	63.43	2.47	0.567	0.133	0.335	107.561	0
19010306	0.2	1.7	61.47	2.16	0.568	0.138	0.402	109.181	0
19010307	1.1	1.3	61.64	0.93	0.542	0.135	0.464	109.512	0
19010308	6.3	0	67.94	0	0.437	0.11	0.478	108.924	0
19010309	0	-0.4	67.94	0	0.408	0.101	0.454	108.369	0
19010310	0	0.8	67.94	0	0.522	0.128	0.432	107.809	0
19010311	0.3	1.9	65.46	2.78	0.63	0.153	0.411	110.025	0
19010312	0.1	0.4	65.56	0	0.5	0.127	0.5	109.398	0
19010313	2.2	1.6	65.91	1.85	0.62	0.155	0.473	110.62	0
19010314	2.3	1.3	67.28	0.93	0.601	0.154	0.526	110.87	0
19010315	0.2	2.9	61.61	5.87	0.764	0.196	0.537	116.007	0
19010316	1.7	4.5	52.5	10.81	0.931	0.26	0.815	125.742	0
19010317	0.2	4.1	43.12	9.58	0.904	0.291	1.653	133.378	0
19010318	0.5	4.4	33.11	10.51	0.947	0.336	2.704	140.848	0
19010319	1.4	4.4	24	10.51	0.96	0.372	4.193	146.793	0
19010320	17.7	3.1	29.1	12.6	0.838	0.346	5.794	153.253	0
19010321	8.3	-2.7	37.4	0	0.241	0.106	8.053	145.094	0
19010322	7.6	-3.4	45	0	0.17	0.069	5.293	139.732	0
19010323	4.6	-3.4	49.6	0	0.172	0.066	3.936	135.73	0
19010324	0.1	-3.2	49.7	0	0.196	0.072	3.117	132.541	0
19010325	0.6	-3.1	50.3	0	0.21	0.074	2.568	129.899	0
19010326	0.5	-5.2	50.8	0	0	0	2.174	127.725	0
19010327	0	-5.2	50.8	0	0	0	1.887	125.838	0
19010328	0.4	-4.2	51.2	0	0.092	0.03	1.664	124.144	0
19010329	0	-4.1	51.2	0	0.104	0.033	1.482	122.629	0
19010330	0	-1.4	51.2	0	0.422	0.13	1.333	121.166	0
19010331	0.3	3.1	45.01	6.49	0.96	0.29	1.201	126.165	0
19010401	4.4	3.2	42.61	6.8	0.983	0.318	1.701	130.946	0
19010402	0.6	5.1	30.54	12.67	1.225	0.422	2.324	140.87	0
19010403	1.1	9.8	4.45	27.19	1.814	0.703	4.198	163.159	0
19010404	10.3	8	0	14.75	1.611	0.781	12.837	164.291	0
19010405	0.2	4.4	0	0.2	1.177	0.576	13.504	150.411	0
19010406	4.3	7.4	0	4.3	1.57	0.674	6.986	147.051	0
19010407	1.5	9.5	0	1.5	1.855	0.769	5.873	141.909	0
19010408	5.1	10.8	0	5.1	2.042	0.801	4.449	141.759	0
19010409	6.2	10.6	0	6.2	2.037	0.797	4.412	142.75	0
19010410	2.9	8.2	0	2.9	1.74	0.689	4.66	140.301	0
19010411	2.1	6.9	0	2.1	1.584	0.61	4.065	137.726	0
19010412	1.7	6.4	0	1.7	1.532	0.573	3.507	135.346	0
19010413	0.6	3.8	0	0.6	1.194	0.434	3.047	132.465	0
19010414	1.5	3.5	0	1.5	1.164	0.408	2.556	131.001	0
19010415	1.8	4.7	0	1.8	1.341	0.462	2.332	130.007	0
19010416	1	3.6	0	1	1.199	0.408	2.189	128.41	0
19010417	2.9	2.7	0	2.9	1.083	0.361	1.974	128.975	0
19010418	0.4	3.6	0	0.4	1.221	0.41	2.048	126.917	0
19010419	0.9	4.9	0	0.9	1.417	0.463	1.789	125.565	0
19010420	1	6.6	0	1	1.674	0.537	1.633	124.395	0
19010421	0	6.7	0	0	1.703	0.538	1.508	122.349	0
19010422	0	7.4	0	0	1.819	0.558	1.307	120.484	0
19010423	0	6.9	0	0	1.76	0.526	1.143	118.815	0
19010424	0	8	0	0	1.937	0.565	1.01	117.24	0
19010425	0.2	6.6	0	0.2	1.742	0.496	0.897	116.047	0
19010426	0	3.5	0	0	1.286	0.359	0.818	114.87	0
19010427	0	11.7	0	0	2.545	0.698	0.746	113.426	0
