"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	4.2	0.6	0	0	0.206	-0.019	0	13.4896551724138	0
19200102	0.9	-0.4	0.9	0	0.171	0	0	13.4896551724138	0
19200103	0	-0.7	0.9	0	0.161	0	0	13.4896551724138	0
19200104	0	-1.9	0.9	0	0.117	0	0	13.4896551724138	0
19200105	0	-2.4	0.9	0	0.099	0	0	13.4896551724138	0
19200106	0	-4.2	0.9	0	0.031	0	0	13.4896551724138	0
19200107	0	-2.8	0.9	0	0.085	0	0	13.4896551724138	0
19200108	4.5	-1	5.4	0	0.156	0	0	13.4896551724138	0
19200109	5	0.2	10.4	0	0.204	0	0	13.4896551724138	0
19200110	2.8	-2	13.2	0	0.119	0	0	13.4896551724138	0
19200111	3.7	1.6	15.05	1.85	0.264	0	0	15.34	0
19200112	7.9	3.2	9.75	13.2	0.332	0.01	0	28.53	0
19200113	3.4	4.5	0	13.15	0.389	0.093	0.004	41.583	0
19200114	3.7	2.4	0	3.7	0.306	0.136	0.1	45.047	0
19200115	0	-3.2	0	0	0.075	0.038	0.178	44.831	0
19200116	0	-4.6	0	0	0.017	0.008	0.172	44.651	0
19200117	4.1	1	4.1	0	0.258	0.127	0.167	44.357	0
19200118	0	3.1	0	4.1	0.352	0.172	0.16	48.125	0
19200119	3.4	0.8	3.4	0	0.256	0.141	0.284	47.7	0
19200120	1	0.9	4.4	0	0.263	0.143	0.267	47.29	0
19200121	0	-1.5	4.4	0	0.158	0.085	0.251	46.954	0
19200122	0	-0.8	4.4	0	0.193	0.102	0.239	46.613	0
19200123	0	-4	4.4	0	0.047	0.025	0.227	46.361	0
19200124	0	-6.8	4.4	0	0	0	0.219	46.142	0
19200125	0	-6.6	4.4	0	0	0	0.211	45.931	0
19200126	0	-3.9	4.4	0	0.053	0.027	0.205	45.699	0
19200127	1.6	-6.8	6	0	0	0	0.197	45.502	0
19200128	0	-5.8	6	0	0	0	0.191	45.311	0
19200129	0	-8.3	6	0	0	0	0.186	45.125	0
19200130	0	-7	6	0	0	0	0.18	44.945	0
19200131	0	-5.4	6	0	0	0	0.175	44.77	0
19200201	8.5	-3.7	14.5	0	0.069	0.034	0.171	44.565	0
19200202	0	-1.6	14.5	0	0.184	0.091	0.165	44.309	0
19200203	0	-1.9	14.5	0	0.17	0.083	0.158	44.068	0
19200204	0	-2.5	14.5	0	0.139	0.067	0.152	43.849	0
19200205	0	-4.1	14.5	0	0.051	0.025	0.147	43.677	0
19200206	0	-4.8	14.5	0	0.012	0.006	0.143	43.528	0
19200207	0	-5.6	14.5	0	0	0	0.139	43.389	0
19200208	0	-5.3	14.5	0	0	0	0.136	43.253	0
19200209	0	-6.7	14.5	0	0	0	0.133	43.12	0
19200210	14.5	-1.7	29	0	0.202	0.095	0.13	42.895	0
19200211	3	1.3	31.07	0.93	0.393	0.183	0.125	43.517	0
19200212	0	-0.2	31.07	0	0.304	0.145	0.139	43.233	0
19200213	0	-2	31.07	0	0.193	0.091	0.133	43.009	0
19200214	4.4	-1.9	35.47	0	0.203	0.095	0.128	42.786	0
19200215	0	-1.8	35.47	0	0.213	0.099	0.123	42.564	0
19200216	0	-5.4	35.47	0	0	0	0.118	42.446	0
19200217	0	-3.1	35.47	0	0.13	0.06	0.116	42.27	0
19200218	0	-2.8	35.47	0	0.153	0.07	0.112	42.088	0
19200219	0	-3.1	35.47	0	0.134	0.061	0.109	41.918	0
19200220	0	-2.5	35.47	0	0.18	0.081	0.106	41.731	0
19200221	0	-2.7	35.47	0	0.168	0.075	0.102	41.554	0
19200222	0	-1.3	35.47	0	0.274	0.122	0.099	41.333	0
19200223	0	-1.3	35.47	0	0.279	0.123	0.095	41.115	0
19200224	0	-1	35.47	0	0.306	0.134	0.092	40.889	0
19200225	0	-0.4	35.47	0	0.357	0.155	0.088	40.646	0
19200226	0	-1.6	35.47	0	0.268	0.115	0.084	40.447	0
19200227	6.7	3.1	29.57	12.6	0.649	0.277	0.081	52.689	0
19200228	0	-2.2	29.57	0	0.228	0.142	0.527	52.02	0
19200229	0	0.3	29.57	0	0.437	0.267	0.484	51.269	0
19200301	0	2.5	24.94	4.63	0.628	0.376	0.438	55.085	0
19200302	0	2.3	20.92	4.02	0.621	0.41	0.709	57.986	0
19200303	0	2.7	15.67	5.25	0.664	0.469	0.993	61.774	0
19200304	0	6.2	0	15.67	0.98	0.75	1.495	75.199	0
19200305	0	6.5	0	0	1.021	0.999	5.096	69.104	0
19200306	0	6.1	0	0	1	0.882	3.03	65.192	0
19200307	0	10.6	0	0	1.425	1.168	2.104	61.92	0
19200308	0	10.1	0	0	1.399	1.074	1.517	59.329	0
19200309	0	1.9	0	0	0.648	0.471	1.153	57.705	0
19200310	7.9	-1.7	7.9	0	0.314	0.22	0.962	56.523	0
19200311	6.5	-0.8	14.4	0	0.406	0.277	0.84	55.406	0
19200312	7.6	-0.9	22	0	0.401	0.267	0.737	54.402	0
19200313	3.1	-0.9	25.1	0	0.407	0.264	0.653	53.485	0
19200314	3.8	-1.9	28.9	0	0.312	0.198	0.583	52.704	0
19200315	0	-0.8	28.9	0	0.428	0.266	0.528	51.91	0
19200316	0	2.7	23.65	5.25	0.794	0.484	0.477	56.199	0
19200317	0	3.8	15	8.65	0.92	0.623	0.809	63.417	0
19200318	0	5.9	0	15	1.154	0.914	1.767	75.736	0
19200319	1.3	4.4	0	1.3	1.007	0.994	5.322	70.72	0
19200320	0	1.7	0	0	0.727	0.66	3.497	66.563	0
19200321	0	3.2	0	0	0.901	0.758	2.398	63.407	0
19200322	0	2.7	0	0	0.856	0.678	1.765	60.964	0
19200323	0	2.4	0	0	0.833	0.627	1.373	58.964	0
19200324	0	2.3	0	0	0.831	0.599	1.107	57.258	0
19200325	0	5.1	0	0	1.163	0.807	0.915	55.536	0
19200326	0	3.2	0	0	0.955	0.637	0.748	54.151	0
19200327	0	6.1	0	0	1.308	0.843	0.633	52.675	0
19200328	0	7.2	0	0	1.454	0.903	0.526	51.246	0
19200329	0	4.4	0	0	1.132	0.678	0.437	50.131	0
19200330	0	4.3	0	0	1.133	0.658	0.376	49.097	0
19200331	0	5.8	0	0	1.33	0.751	0.326	48.02	0
19200401	15.6	6.2	0	15.6	1.393	0.763	0.28	62.577	0
19200402	0	6.5	0	0	1.446	1.126	1.623	59.828	0
19200403	0	7.1	0	0	1.537	1.129	1.217	57.482	0
19200404	0	7.2	0	0	1.565	1.092	0.938	55.452	0
19200405	7.1	6.2	0	7.1	1.451	0.966	0.741	60.845	0
19200406	0	4.9	0	0	1.296	0.973	1.356	58.516	0
19200407	0	4.3	0	0	1.229	0.878	1.054	56.584	0
19200408	0	8.4	0	0	1.788	1.222	0.846	54.516	0
19200409	0	12.1	0	0	2.303	1.498	0.662	52.356	0
19200410	0	15	0	0	2.718	1.675	0.505	50.176	0
19200411	0	14.2	0	0	2.633	1.532	0.378	48.266	0
19200412	0	14.4	0	0	2.684	1.48	0.29	46.496	0
19200413	2.8	12.2	0	2.8	2.401	1.257	0.223	47.816	0
19200414	0	12.4	0	0	2.45	1.334	0.271	46.211	0
19200415	0	13.2	0	0	2.584	1.341	0.214	44.656	0
19200416	0	15.6	0	0	2.95	1.458	0.167	43.031	0
19200417	0	14.6	0	0	2.829	1.325	0.128	41.578	0
19200418	0	17.5	0	0	3.274	1.458	0.1	40.02	0
19200419	0	16.5	0	0	3.154	1.327	0.075	38.618	0
19200420	0	13.6	0	0	2.749	1.095	0.057	37.466	0
19200421	7.8	10.2	0	7.8	2.264	0.861	0.045	44.36	0
19200422	9.7	10.5	0	9.7	2.326	1.139	0.16	52.761	0
19200423	0	11.3	0	0	2.464	1.534	0.532	50.695	0
19200424	0	9.1	0	0	2.147	1.267	0.406	49.022	0
19200425	0	11.6	0	0	2.545	1.434	0.323	47.265	0
19200426	0	9.1	0	0	2.177	1.166	0.25	45.849	0
19200427	0	8.1	0	0	2.036	1.045	0.202	44.602	0
19200428	0	10.7	0	0	2.457	1.212	0.166	43.224	0
19200429	0.5	9.3	0	0.5	2.252	1.062	0.132	42.53	0
19200430	0	9.1	0	0	2.235	1.029	0.118	41.383	0
19200501	0	11.2	0	0	2.583	1.143	0.096	40.144	0
19200502	0	15.2	0	0	3.241	1.37	0.077	38.697	0
19200503	0	15.8	0	0	3.357	1.342	0.058	37.297	0
19200504	0	11.9	0	0	2.743	1.036	0.044	36.217	0
19200505	26.6	8	0	26.6	2.122	0.765	0.035	62.017	0
19200506	0	4.9	0	0	1.625	1.25	1.533	59.234	0
19200507	0	10.7	0	0	2.591	1.879	1.141	56.214	0
19200508	6.7	10.8	0	6.7	2.622	1.776	0.811	60.327	0
19200509	12.7	9.4	0	12.7	2.402	1.784	1.284	69.959	0
19200510	2.6	7.9	0	2.6	2.162	1.936	3.27	67.353	0
19200511	0	7.4	0	0	2.088	1.783	2.582	62.988	0
19200512	0	9.2	0	0	2.403	1.886	1.692	59.41	0
19200513	0	11.5	0	0	2.805	2.043	1.163	56.204	0
19200514	2.7	13	0	2.7	3.074	2.082	0.81	56.012	0
19200515	0	9.4	0	0	2.47	1.666	0.792	53.554	0
19200516	0	9.1	0	0	2.429	1.543	0.588	51.423	0
19200517	1.7	14.4	0	1.7	3.355	2.018	0.447	50.658	0
19200518	0	17.8	0	0	3.959	2.333	0.404	47.921	0
19200519	0	17.9	0	0	3.991	2.179	0.276	45.466	0
19200520	0	18.9	0	0	4.181	2.12	0.19	43.156	0
19200521	0	19.8	0	0	4.354	2.048	0.131	40.977	0
19200522	0	14.9	0	0	3.506	1.528	0.089	39.36	0
19200523	0	15	0	0	3.536	1.451	0.066	37.843	0
