"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	3.4	0.1	0	0	0.186	0.033	0.004	55.979	0
19200102	2.4	-0.6	2.4	0	0.161	0.029	0.004	55.946	0
19200103	4.8	-1.1	7.2	0	0.144	0.026	0.004	55.916	0
19200104	0	-1.9	7.2	0	0.115	0.02	0.003	55.893	0
19200105	0	-2.3	7.2	0	0.101	0.018	0.003	55.872	0
19200106	0	-3.8	7.2	0	0.045	0.008	0.003	55.861	0
19200107	0	-2.4	7.2	0	0.099	0.018	0.003	55.84	0
19200108	3.7	-0.5	10.9	0	0.173	0.031	0.003	55.806	0
19200109	3.3	0.1	14.2	0	0.198	0.035	0.003	55.768	0
19200110	2.7	-1.5	16.9	0	0.137	0.024	0.003	55.741	0
19200111	4.7	3	15.42	6.18	0.317	0.056	0.003	61.862	0
19200112	10	3.8	0	25.42	0.352	0.074	0.008	87.2	0
19200113	4.4	5.4	0	4.4	0.421	0.146	0.1	91.354	0
19200114	3.3	2.5	0	3.3	0.307	0.114	0.137	94.403	0
19200115	0	-2.7	0	0	0.095	0.037	0.17	94.196	0
19200116	5.7	-2.8	5.7	0	0.092	0.035	0.167	93.994	0
19200117	3	3.1	0	8.7	0.344	0.132	0.165	102.397	0
19200118	0	4.6	0	0	0.413	0.178	0.289	101.93	0
19200119	2.5	3.1	0	2.5	0.353	0.151	0.281	103.998	0
19200120	0	1.1	0	0	0.27	0.118	0.32	103.56	0
19200121	0	-0.7	0	0	0.193	0.084	0.311	103.165	0
19200122	0	-0.4	0	0	0.209	0.091	0.303	102.771	0
19200123	0	-3.3	0	0	0.078	0.034	0.296	102.441	0
19200124	0	-6.1	0	0	0	0	0.29	102.151	0
19200125	0	-5.4	0	0	0	0	0.285	101.866	0
19200126	0	-3.2	0	0	0.087	0.037	0.28	101.549	0
19200127	1.5	-5.8	1.5	0	0	0	0.274	101.275	0
19200128	0.6	-4.5	2.1	0	0.025	0.011	0.269	100.995	0
19200129	0	-7.7	2.1	0	0	0	0.264	100.731	0
19200130	0	-6.3	2.1	0	0	0	0.26	100.471	0
19200131	0	-4.7	2.1	0	0.016	0.007	0.256	100.208	0
19200201	7.2	-2.5	9.3	0	0.132	0.055	0.251	99.902	0
19200202	0	-0.4	9.3	0	0.246	0.102	0.246	99.554	0
19200203	0	0.2	9.3	0	0.283	0.117	0.241	99.196	0
19200204	0	-1.5	9.3	0	0.193	0.08	0.235	98.881	0
19200205	0	-3.3	9.3	0	0.095	0.039	0.23	98.612	0
19200206	0	-4.3	9.3	0	0.04	0.016	0.226	98.37	0
