"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0.1	-15.5	0	0	0	0	0	30.024	0
19010102	0	-17.6	0	0	0	0	0	30.024	0
19010103	0	-18.3	0	0	0	0	0	30.024	0
19010104	0	-16.8	0	0	0	0	0	30.024	0
19010105	0.2	-18.2	0.2	0	0	0	0	30.024	0
19010106	0	-17	0.2	0	0	0	0	30.024	0
19010107	0	-12.4	0.2	0	0	0	0	30.024	0
19010108	0	-10.3	0.2	0	0	0	0	30.024	0
19010109	0.1	-11	0.3	0	0	0	0	30.024	0
19010110	0	-12.2	0.3	0	0	0	0	30.024	0
19010111	0.1	-9.7	0.4	0	0	0	0	30.024	0
19010112	0	-8.4	0.4	0	0	0	0	30.024	0
19010113	0	-10.9	0.4	0	0	0	0	30.024	0
19010114	0	-9.1	0.4	0	0	0	0	30.024	0
19010115	0	-9.8	0.4	0	0	0	0	30.024	0
19010116	0	-8	0.4	0	0	0	0	30.024	0
19010117	0	-9.9	0.4	0	0	0	0	30.024	0
19010118	0	-9.8	0.4	0	0	0	0	30.024	0
19010119	0.1	-7.9	0.5	0	0	0	0	30.024	0
19010120	3.9	-6.3	4.4	0	0	0	0	30.024	0
19010121	4.7	-2	9.1	0	0.134	0.015	0	30.009	0
19010122	1.5	-0.6	10.6	0	0.199	0.022	0	29.987	0
19010123	0.1	-1.9	10.7	0	0.142	0.016	0	29.971	0
19010124	0.1	-3.9	10.8	0	0.051	0.006	0	29.965	0
19010125	0.7	-0.9	11.5	0	0.194	0.021	0	29.944	0
19010126	5.8	-3.8	17.3	0	0.057	0.006	0	29.938	0
19010127	20.8	-1	38.1	0	0.194	0.021	0	29.917	0
19010128	8.2	-4.6	46.3	0	0.02	0.002	0	29.915	0
19010129	0.6	-6.2	46.9	0	0	0	0	29.915	0
19010130	0.7	-7.1	47.6	0	0	0	0	29.915	0
19010131	0	-7	47.6	0	0	0	0	29.915	0
19010201	0.3	-6.4	47.9	0	0	0	0	29.915	0
19010202	5.8	-7.2	53.7	0	0	0	0	29.915	0
19010203	0.1	-8.7	53.8	0	0	0	0	29.915	0
19010204	0	-7.6	53.8	0	0	0	0	29.915	0
19010205	0.7	-5.7	54.5	0	0	0	0	29.915	0
19010206	2.5	-5.6	57	0	0	0	0	29.915	0
19010207	0.8	-6.7	57.8	0	0	0	0	29.915	0
19010208	2.5	-9.6	60.3	0	0	0	0	29.915	0
19010209	1.2	-6.4	61.5	0	0	0	0	29.915	0
19010210	2.2	-6.6	63.7	0	0	0	0	29.915	0
19010211	3.6	-10.1	67.3	0	0	0	0	29.915	0
19010212	2	-10.3	69.3	0	0	0	0	29.915	0
19010213	2.5	-12.3	71.8	0	0	0	0	29.915	0
19010214	0.1	-14.9	71.9	0	0	0	0	29.915	0
19010215	0.7	-15.5	72.6	0	0	0	0	29.915	0
19010216	4.2	-11.9	76.8	0	0	0	0	29.915	0
19010217	2.2	-9	79	0	0	0	0	29.915	0
19010218	0.6	-14.4	79.6	0	0	0	0	29.915	0
19010219	0.5	-17.1	80.1	0	0	0	0	29.915	0
19010220	0.6	-14.1	80.7	0	0	0	0	29.915	0
19010221	0.1	-13.5	80.8	0	0	0	0	29.915	0
19010222	0	-13.6	80.8	0	0	0	0	29.915	0
19010223	0.8	-8.9	81.6	0	0	0	0	29.915	0
19010224	0.7	-6.2	82.3	0	0	0	0	29.915	0
19010225	0.6	-4.1	82.9	0	0.069	0.008	0	29.907	0
19010226	0	-3.2	82.9	0	0.141	0.016	0	29.891	0
19010227	0.1	-4.2	83	0	0.064	0.007	0	29.884	0
19010228	0.1	-0.9	83.1	0	0.331	0.036	0	29.848	0
19010301	0.1	-1.5	83.2	0	0.287	0.031	0	29.817	0
19010302	0.3	-0.6	83.5	0	0.366	0.04	0	29.777	0
19010303	4.8	-2.3	88.3	0	0.228	0.025	0	29.752	0
19010304	0.9	-2	89.2	0	0.257	0.028	0	29.724	0
19010305	2.7	-1.7	91.9	0	0.287	0.031	0	29.693	0
19010306	0.5	-2.4	92.4	0	0.229	0.025	0	29.668	0
19010307	1.2	-2.6	93.6	0	0.215	0.023	0	29.645	0
19010308	0.7	-3.6	94.3	0	0.127	0.014	0	29.631	0
19010309	0	-4.6	94.3	0	0.037	0.004	0	29.627	0
19010310	0	-3.5	94.3	0	0.14	0.015	0	29.612	0
19010311	0.4	-0.4	94.7	0	0.435	0.047	0	29.565	0
19010312	0.2	-2.9	94.9	0	0.202	0.022	0	29.543	0
19010313	3.3	-0.7	98.2	0	0.418	0.045	0	29.498	0
19010314	2.8	-2	101	0	0.296	0.032	0	29.466	0
19010315	0.1	-1	101.1	0	0.4	0.043	0	29.423	0
19010316	2.9	1.3	103.07	0.93	0.638	0.068	0	30.285	0
19010317	0.2	1.3	102.34	0.93	0.646	0.073	0	31.142	0
19010318	0	0.7	102.34	0	0.592	0.07	0	31.072	0
19010319	0	1.8	99.87	2.47	0.716	0.085	0	33.457	0
19010320	9.7	1.2	108.37	1.2	0.661	0.089	0.001	34.567	0
19010321	6.2	-6.8	114.57	0	0	0	0.001	34.566	0
19010322	6.9	-8.1	121.47	0	0	0	0.001	34.565	0
19010323	6.4	-8	127.87	0	0	0	0.001	34.564	0
19010324	0.8	-6.8	128.67	0	0	0	0.001	34.563	0
19010325	0	-5.7	128.67	0	0	0	0.001	34.562	0
19010326	1.6	-8.4	130.27	0	0	0	0.001	34.561	0
19010327	0.1	-8.6	130.37	0	0	0	0.001	34.56	0
19010328	0.2	-7.3	130.57	0	0	0	0.001	34.559	0
19010329	0.2	-7.2	130.77	0	0	0	0.001	34.558	0
19010330	0	-4.7	130.77	0	0.036	0.005	0.001	34.552	0
19010331	0	-0.8	130.77	0	0.509	0.073	0.001	34.478	0
19010401	0.1	2.7	125.62	5.25	0.944	0.135	0.001	39.592	0
19010402	0.1	2.2	122.01	3.71	0.892	0.16	0.003	43.139	0
19010403	0	4.1	112.43	9.58	1.14	0.234	0.006	52.479	0
19010404	5.4	5.6	90.23	27.6	1.341	0.365	0.026	79.688	0
19010405	0.4	-0.3	90.63	0	0.601	0.281	0.382	79.025	0
19010406	6.4	1.6	93.43	3.6	0.852	0.394	0.363	81.868	0
19010407	1.3	5.9	79.59	15.14	1.422	0.686	0.451	95.871	0
19010408	2	7.8	60.58	21.01	1.686	0.983	1.16	114.738	0
19010409	4.4	6.5	47.99	16.99	1.529	1.099	3.295	127.334	0
19010410	9	2.6	47.39	9.6	1.02	0.825	5.957	130.152	0
19010411	2.8	2	47.1	3.09	0.948	0.786	6.74	125.716	0
19010412	5.1	2.1	45.6	6.6	0.971	0.774	5.542	126	0
19010413	1.7	-1.3	47.3	0	0.51	0.408	5.613	119.979	0
19010414	5	-0.5	52.3	0	0.626	0.473	4.252	115.254	0
19010415	3.2	1.5	53.96	1.54	0.913	0.659	3.38	112.755	0
19010416	3.9	-0.5	57.86	0	0.637	0.449	2.981	109.325	0
19010417	3.9	-2.1	61.76	0	0.414	0.281	2.495	106.549	0
19010418	1.5	-1.1	63.26	0	0.562	0.371	2.151	104.027	0
19010419	0	1.2	62.64	0.62	0.9	0.578	1.871	102.198	0
19010420	0	2.5	58.01	4.63	1.097	0.69	1.688	104.45	0
19010421	0	2.6	53.07	4.94	1.121	0.723	1.916	106.751	0
19010422	0	3	46.89	6.18	1.189	0.786	2.174	109.971	0
19010423	0	3	40.71	6.18	1.198	0.82	2.582	112.749	0
19010424	0	3.7	32.37	8.34	1.312	0.924	2.98	117.185	0
19010425	0	3.4	24.95	7.42	1.276	0.939	3.717	119.949	0
19010426	0	-0.5	24.95	0	0.689	0.521	4.246	115.182	0
19010427	0	7.1	6.1	18.85	1.864	1.345	3.368	129.319	0
19010428	1.8	7.7	0	7.9	1.97	1.622	6.5	129.097	0
