"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	4.1	-0.7	0	0	0.155	0.011	0	29.321	0
19200102	1.1	-2	1.1	0	0.109	0.008	0	29.313	0
19200103	0	-2.4	1.1	0	0.095	0.007	0	29.306	0
19200104	0	-3.2	1.1	0	0.066	0.005	0	29.301	0
19200105	0	-3.6	1.1	0	0.052	0.004	0	29.297	0
19200106	0	-5.6	1.1	0	0	0	0	29.297	0
19200107	0	-4.2	1.1	0	0.03	0.002	0	29.295	0
19200108	4.5	-2	5.6	0	0.114	0.008	0	29.287	0
19200109	4.7	-1.3	10.3	0	0.143	0.01	0	29.277	0
19200110	2.8	-3.2	13.1	0	0.07	0.005	0	29.272	0
19200111	4.3	0.9	17.4	0	0.232	0.016	0	29.256	0
19200112	9.2	2.5	17.6	9	0.298	0.021	0	38.235	0
19200113	3.1	3.2	13.9	6.8	0.33	0.045	0.001	44.989	0
19200114	4.3	0.6	18.2	0	0.228	0.042	0.003	44.944	0
19200115	0	-5.2	18.2	0	0	0	0.003	44.941	0
19200116	0	-5.9	18.2	0	0	0	0.003	44.938	0
19200117	3.7	0.5	21.9	0	0.232	0.042	0.003	44.893	0
19200118	0	2.6	16.96	4.94	0.325	0.059	0.003	49.771	0
19200119	3.8	-0.1	20.76	0	0.212	0.046	0.007	49.718	0
19200120	1.1	-0.8	21.86	0	0.184	0.04	0.007	49.671	0
19200121	0	-2.4	21.86	0	0.116	0.025	0.007	49.639	0
19200122	0	-2.1	21.86	0	0.131	0.028	0.007	49.604	0
19200123	0	-5.4	21.86	0	0	0	0.007	49.597	0
19200124	0	-8.5	21.86	0	0	0	0.007	49.59	0
19200125	0	-7.5	21.86	0	0	0	0.007	49.583	0
19200126	0	-4.7	21.86	0	0.014	0.003	0.007	49.573	0
19200127	1.5	-8.4	23.36	0	0	0	0.007	49.566	0
19200128	0	-7.3	23.36	0	0	0	0.007	49.559	0
19200129	0	-8.8	23.36	0	0	0	0.007	49.552	0
19200130	0	-8.6	23.36	0	0	0	0.007	49.545	0
19200131	0	-6.7	23.36	0	0	0	0.007	49.538	0
19200201	9.3	-5.1	32.66	0	0	0	0.007	49.531	0
19200202	0	-2.9	32.66	0	0.112	0.024	0.007	49.5	0
19200203	0	-2.4	32.66	0	0.141	0.03	0.007	49.463	0
19200204	0	-2.5	32.66	0	0.137	0.03	0.007	49.426	0
19200205	0	-4.6	32.66	0	0.022	0.005	0.007	49.414	0
19200206	0	-5.9	32.66	0	0	0	0.007	49.407	0
19200207	0	-7.1	32.66	0	0	0	0.007	49.4	0
19200208	0	-7.1	32.66	0	0	0	0.007	49.393	0
19200209	0	-7.7	32.66	0	0	0	0.007	49.386	0
19200210	16.8	-2.3	49.46	0	0.164	0.035	0.007	49.344	0
19200211	4.1	-0.1	53.56	0	0.302	0.065	0.006	49.273	0
19200212	0	-1.7	53.56	0	0.206	0.044	0.006	49.223	0
19200213	0	-2.8	53.56	0	0.14	0.03	0.006	49.187	0
19200214	4.7	-3.2	58.26	0	0.116	0.025	0.006	49.156	0
19200215	0	-2.5	58.26	0	0.164	0.035	0.006	49.115	0
19200216	0	-6.7	58.26	0	0	0	0.006	49.109	0
19200217	0	-3.8	58.26	0	0.081	0.017	0.006	49.086	0
19200218	0	-3.1	58.26	0	0.131	0.028	0.006	49.052	0
19200219	0	-4	58.26	0	0.07	0.015	0.006	49.031	0
19200220	0	-3.1	58.26	0	0.135	0.029	0.006	48.996	0
19200221	0	-3.6	58.26	0	0.101	0.021	0.006	48.969	0
19200222	0	-2.2	58.26	0	0.206	0.044	0.006	48.919	0
19200223	0	-2.4	58.26	0	0.194	0.041	0.006	48.872	0
19200224	0	-1.8	58.26	0	0.242	0.051	0.006	48.815	0
19200225	0	-1.4	58.26	0	0.277	0.058	0.006	48.751	0
19200226	0	-2.6	58.26	0	0.188	0.04	0.006	48.705	0
19200227	6.9	2.6	55.56	9.6	0.603	0.127	0.006	58.172	0
19200228	0	-3.7	55.56	0	0.105	0.029	0.024	58.119	0
19200229	0	-0.2	55.56	0	0.393	0.109	0.024	57.986	0
19200301	0	1.9	52.78	2.78	0.573	0.159	0.023	60.584	0
19200302	0	1.5	51.24	1.54	0.548	0.162	0.032	61.93	0
19200303	0	1.5	49.7	1.54	0.556	0.17	0.038	63.262	0
19200304	0	4.7	38.27	11.43	0.842	0.265	0.044	74.383	0
19200305	0	5.4	24.67	13.6	0.916	0.362	0.136	87.485	0
19200306	0	5.1	12	12.67	0.903	0.442	0.397	99.316	0
19200307	0	9.6	0	12	1.324	0.76	0.886	109.67	0
19200308	0	8.6	0	0	1.251	0.811	1.629	107.23	0
19200309	0	0.1	0	0	0.476	0.3	1.421	105.509	0
19200310	10	-2.8	10	0	0.208	0.129	1.287	104.093	0
19200311	6.1	-2.2	16.1	0	0.268	0.163	1.184	102.746	0
19200312	7.6	-2.1	23.7	0	0.282	0.169	1.093	101.484	0
19200313	3.3	-2.6	27	0	0.236	0.139	1.013	100.332	0
19200314	4.8	-3.5	31.8	0	0.15	0.087	0.943	99.302	0
19200315	0	-2.6	31.8	0	0.243	0.139	0.885	98.278	0
19200316	0	1.5	30.26	1.54	0.666	0.377	0.83	98.611	0
19200317	0	1.9	27.48	2.78	0.717	0.408	0.847	100.136	0
19200318	0	4.5	16.67	10.81	0.999	0.579	0.932	109.435	0
19200319	1.6	2.9	12.4	5.87	0.842	0.545	1.608	113.152	0
19200320	0	0.9	12.4	0	0.636	0.428	1.969	110.755	0
19200321	0	2	9.31	3.09	0.765	0.502	1.73	111.613	0
19200322	0	1.4	8.07	1.24	0.708	0.469	1.812	110.572	0
19200323	0	0.9	8.07	0	0.66	0.432	1.712	108.428	0
19200324	0	0.8	8.07	0	0.657	0.42	1.52	106.488	0
19200325	0	3.8	0	8.07	1.008	0.631	1.361	112.566	0
