"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0.1	-13.1	0	0	0	0	0.064	122.755	0
19010102	0	-15.4	0	0	0	0	0.063	122.692	0
19010103	0	-16.1	0	0	0	0	0.063	122.629	0
19010104	0	-14.4	0	0	0	0	0.063	122.566	0
19010105	0.3	-16	0.3	0	0	0	0.063	122.503	0
19010106	0	-14.6	0.3	0	0	0	0.063	122.44	0
19010107	0	-9.8	0.3	0	0	0	0.062	122.378	0
19010108	0	-7.6	0.3	0	0	0	0.062	122.316	0
19010109	0	-8.3	0.3	0	0	0	0.062	122.254	0
19010110	0	-9.6	0.3	0	0	0	0.062	122.192	0
19010111	0	-6.9	0.3	0	0	0	0.061	122.131	0
19010112	0	-5.6	0.3	0	0	0	0.061	122.07	0
19010113	0	-8.2	0.3	0	0	0	0.061	122.009	0
19010114	0	-6.3	0.3	0	0	0	0.061	121.948	0
19010115	0	-7	0.3	0	0	0	0.061	121.887	0
19010116	0	-5.1	0.3	0	0	0	0.06	121.827	0
19010117	0	-7.2	0.3	0	0	0	0.06	121.767	0
19010118	0	-7	0.3	0	0	0	0.06	121.707	0
19010119	0	-5	0.3	0	0	0	0.06	121.647	0
19010120	1.9	-3.4	2.2	0	0.07	0.022	0.06	121.565	0
19010121	3.3	1.3	0	5.5	0.279	0.089	0.059	126.917	0
19010122	0.4	2.7	0	0.4	0.346	0.117	0.08	127.12	0
19010123	0	1.4	0	0	0.291	0.098	0.081	126.941	0
19010124	0	-0.8	0	0	0.194	0.065	0.08	126.796	0
19010125	0.5	2.4	0	0.5	0.347	0.117	0.08	127.099	0
19010126	4	-0.7	4	0	0.205	0.069	0.081	126.949	0
19010127	14.6	2.3	0	18.6	0.353	0.119	0.08	145.35	0
19010128	7.8	-1.6	7.8	0	0.167	0.068	0.2	145.082	0
19010129	0.4	-3.3	8.2	0	0.085	0.034	0.198	144.85	0
19010130	0.5	-4.2	8.7	0	0.04	0.016	0.196	144.638	0
19010131	0	-4.1	8.7	0	0.046	0.019	0.194	144.425	0
19010201	0.2	-3.5	8.9	0	0.078	0.031	0.192	144.202	0
