"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0.3	-13.4	0	0	0	0	0	16.17	0
19010102	0	-15.6	0	0	0	0	0	16.17	0
19010103	0	-16.3	0	0	0	0	0	16.17	0
19010104	0	-14.7	0	0	0	0	0	16.17	0
19010105	0.1	-16.2	0.1	0	0	0	0	16.17	0
19010106	0	-14.9	0.1	0	0	0	0	16.17	0
19010107	0	-10.1	0.1	0	0	0	0	16.17	0
19010108	0	-7.9	0.1	0	0	0	0	16.17	0
19010109	0	-8.6	0.1	0	0	0	0	16.17	0
19010110	0.1	-9.9	0.2	0	0	0	0	16.17	0
19010111	0.2	-7.2	0.4	0	0	0	0	16.17	0
19010112	0.1	-5.9	0.5	0	0	0	0	16.17	0
19010113	0.1	-8.5	0.6	0	0	0	0	16.17	0
19010114	0	-6.6	0.6	0	0	0	0	16.17	0
19010115	0	-7.3	0.6	0	0	0	0	16.17	0
19010116	0	-5.4	0.6	0	0	0	0	16.17	0
19010117	0	-7.5	0.6	0	0	0	0	16.17	0
19010118	0	-7.3	0.6	0	0	0	0	16.17	0
19010119	0.4	-5.3	1	0	0	0	0	16.17	0
19010120	2.4	-3.7	3.4	0	0.054	0.001	0	16.169	0
19010121	2.3	0.9	5.7	0	0.25	0.007	0	16.162	0
19010122	1.2	2.3	2.88	4.02	0.314	0.008	0	20.174	0
19010123	0.1	1	2.98	0	0.262	0.018	0	20.156	0
19010124	0	-1.1	2.98	0	0.173	0.012	0	20.144	0
19010125	0.8	2	0	3.78	0.315	0.022	0	23.902	0
19010126	4.9	-1	4.9	0	0.183	0.02	0	23.882	0
19010127	15.2	1.9	0	20.1	0.32	0.035	0	43.947	0
19010128	6	-1.9	6	0	0.146	0.047	0.038	43.862	0
19010129	2	-3.6	8	0	0.067	0.021	0.037	43.804	0
19010130	1.7	-4.5	9.7	0	0.024	0.008	0.037	43.759	0
19010131	0	-4.4	9.7	0	0.03	0.01	0.037	43.712	0
19010201	1.7	-3.8	11.4	0	0.06	0.019	0.037	43.656	0
19010202	8	-4.6	19.4	0	0.02	0.006	0.036	43.614	0
19010203	0	-6.2	19.4	0	0	0	0.036	43.578	0
19010204	0.4	-5	19.8	0	0	0	0.036	43.542	0
19010205	1.1	-3	20.9	0	0.107	0.034	0.036	43.472	0
19010206	3.5	-2.9	24.4	0	0.115	0.036	0.035	43.401	0
19010207	0.3	-4.1	24.7	0	0.05	0.016	0.035	43.35	0
19010208	0.5	-7.1	25.2	0	0	0	0.034	43.316	0
19010209	1.3	-3.8	26.5	0	0.069	0.022	0.034	43.26	0
19010210	4.6	-4	31.1	0	0.058	0.018	0.034	43.208	0
19010211	2.6	-7.7	33.7	0	0	0	0.034	43.174	0
19010212	2.3	-7.9	36	0	0	0	0.033	43.141	0
19010213	1.1	-10	37.1	0	0	0	0.033	43.108	0
19010214	0.2	-12.7	37.3	0	0	0	0.033	43.075	0
19010215	2.3	-13.4	39.6	0	0	0	0.033	43.042	0
19010216	2.7	-9.6	42.3	0	0	0	0.033	43.009	0
19010217	1.5	-6.5	43.8	0	0	0	0.032	42.977	0
19010218	0.5	-12.2	44.3	0	0	0	0.032	42.945	0
19010219	0	-15	44.3	0	0	0	0.032	42.913	0
19010220	0.5	-11.9	44.8	0	0	0	0.032	42.881	0
19010221	0.4	-11.2	45.2	0	0	0	0.032	42.849	0
19010222	0.1	-11.4	45.3	0	0	0	0.032	42.817	0
19010223	2.5	-6.4	47.8	0	0	0	0.031	42.786	0
19010224	2.9	-3.6	50.7	0	0.103	0.032	0.031	42.723	0
19010225	1.3	-1.3	52	0	0.277	0.085	0.031	42.607	0
19010226	0.3	-0.4	52.3	0	0.35	0.107	0.03	42.47	0
19010227	0.5	-1.4	52.8	0	0.278	0.085	0.03	42.355	0
19010228	2.9	2	52.61	3.09	0.549	0.167	0.029	45.249	0
19010301	0.8	1.4	52.17	1.24	0.51	0.171	0.047	46.271	0
19010302	0.1	2.3	48.25	4.02	0.591	0.204	0.055	50.032	0
19010303	1.6	0.6	49.85	0	0.46	0.178	0.095	49.759	0
19010304	0.9	0.9	50.75	0	0.493	0.189	0.092	49.478	0
19010305	1.6	1.2	51.73	0.62	0.526	0.2	0.088	49.81	0
19010306	0.2	0.5	51.93	0	0.473	0.181	0.092	49.537	0
19010307	1.3	0.2	53.23	0	0.454	0.173	0.089	49.275	0
19010308	5.4	-0.8	58.63	0	0.372	0.141	0.086	49.048	0
19010309	0.8	-1.9	59.43	0	0.279	0.105	0.083	48.86	0
19010310	0.2	-0.7	59.63	0	0.393	0.147	0.081	48.632	0
19010311	0.4	2.6	55.09	4.94	0.704	0.261	0.078	53.233	0
19010312	0.4	-0.1	55.49	0	0.46	0.193	0.145	52.895	0
19010313	1.7	2.2	53.48	3.71	0.686	0.286	0.139	56.18	0
19010314	3.3	0.9	56.78	0	0.57	0.257	0.208	55.715	0
19010315	0	1.9	54	2.78	0.676	0.302	0.197	57.996	0
19010316	2.9	4.4	46.39	10.51	0.933	0.439	0.256	67.811	0
19010317	0	4.3	36.19	10.2	0.936	0.538	0.697	76.776	0
19010318	0	3.7	27.85	8.34	0.887	0.594	1.501	83.021	0
19010319	0	4.9	15.8	12.05	1.023	0.754	2.406	91.911	0
19010320	22.2	4.2	0	38	0.963	0.8	4.4	107.8032	16.908
19010321	11.8	-4.2	11.8	0	0.085	0.085	11.096	96.622	0
19010322	8.9	-5.6	20.7	0	0	0	5.894	90.728	0
19010323	7	-5.5	27.7	0	0	0	4.077	86.651	0
19010324	2	-4.2	29.7	0	0.088	0.068	3.106	83.477	0
19010325	0.9	-3	30.6	0	0.223	0.165	2.486	80.826	0
19010326	1.3	-5.9	31.9	0	0	0	2.049	78.777	0
19010327	0.1	-6.1	32	0	0	0	1.754	77.023	0
19010328	1.1	-4.7	33.1	0	0.035	0.024	1.53	75.469	0
19010329	0	-4.6	33.1	0	0.047	0.031	1.351	74.087	0
19010330	0	-2	33.1	0	0.355	0.228	1.207	72.652	0
19010331	0	2.1	29.7	3.4	0.849	0.532	1.07	74.45	0
19010401	2.5	5.8	17.37	14.83	1.306	0.843	1.244	87.193	0
19010402	0	5.3	4.08	13.29	1.26	0.984	3.223	96.276	0
19010403	0.3	7.3	0	4.38	1.521	1.335	5.772	93.549	0
19010404	7.8	8.9	0	7.8	1.737	1.474	4.88	94.995	0
19010405	0	2.7	0	0	0.972	0.84	5.338	88.817	0
19010406	4.4	4.7	0	4.4	1.238	0.988	3.595	88.634	0
19010407	1.8	9.2	0	1.8	1.83	1.457	3.552	85.425	0
19010408	2.8	11.2	0	2.8	2.109	1.607	2.854	83.764	0
19010409	4.7	9.8	0	4.7	1.946	1.449	2.538	84.477	0
19010410	3.1	5.7	0	3.1	1.421	1.069	2.67	83.838	0
19010411	1.9	5.1	0	1.9	1.354	1.009	2.551	82.178	0
19010412	2	5.2	0	2	1.38	1.004	2.263	80.911	0
19010413	1.2	1.6	0	1.2	0.901	0.643	2.062	79.406	0
19010414	2.6	2.5	0	2.6	1.034	0.722	1.841	79.443	0
19010415	3.6	4.6	0	3.6	1.335	0.933	1.846	80.264	0
19010416	1.8	2.4	0	1.8	1.038	0.734	1.964	79.366	0
19010417	2	0.8	2	0	0.821	0.573	1.835	76.958	0
19010418	0.8	1.8	0	2.8	0.971	0.653	1.522	77.583	0
19010419	0.3	4.2	0	0.3	1.324	0.899	1.599	75.385	0
19010420	0.3	5.6	0	0.3	1.538	1.008	1.342	73.335	0
19010421	0	5.7	0	0	1.565	0.992	1.134	71.209	0
19010422	0	6.1	0	0	1.637	1	0.945	69.264	0
19010423	0	6.1	0	0	1.65	0.974	0.796	67.494	0
19010424	0	6.9	0	0	1.782	1.019	0.677	65.798	0
19010425	0.4	6.6	0	0.4	1.75	0.969	0.577	64.652	0
19010426	0.1	2.5	0	0.1	1.14	0.617	0.516	63.619	0
19010427	0.1	10.5	0	0.1	2.373	1.259	0.466	61.994	0
19010428	3.8	11.1	0	3.8	2.482	1.274	0.395	64.125	0
19010429	5.2	9.5	0	5.2	2.251	1.206	0.49	67.629	0
19010430	11.9	7.3	0	11.9	1.922	1.101	0.685	77.743	0
19010501	5.4	7	0	5.4	1.888	1.285	1.619	80.239	0
19010502	1.5	9.5	0	1.5	2.296	1.623	1.961	78.155	0
19010503	0	9.9	0	0	2.374	1.626	1.672	74.857	0
19010504	0	9.8	0	0	2.372	1.541	1.286	72.03	0
19010505	0	8.1	0	0	2.113	1.31	1.015	69.705	0
19010506	0.3	10.4	0	0.3	2.498	1.486	0.828	67.691	0
19010507	13.6	10.5	0	13.6	2.529	1.451	0.689	79.151	0
19010508	6.5	8.6	0	6.5	2.231	1.552	1.805	82.294	0
19010509	2.5	7.9	0	2.5	2.128	1.551	2.283	80.96	0
19010510	3.6	10.6	0	3.6	2.587	1.849	2.069	80.642	0
19010511	2.7	13.3	0	2.7	3.051	2.17	2.021	79.151	0
19010512	0.6	14.9	0	0.6	3.335	2.319	1.805	75.627	0
19010513	0.2	14.4	0	0.2	3.267	2.15	1.369	72.308	0
19010514	0.3	13	0	0.3	3.046	1.897	1.039	69.672	0
19010515	0.9	13.3	0	0.9	3.111	1.85	0.826	67.896	0
19010516	4.5	10.8	0	4.5	2.698	1.554	0.703	70.139	0
19010517	0.4	10.9	0	0.4	2.727	1.635	0.861	68.043	0
19010518	0.1	7.3	0	0.1	2.119	1.224	0.712	66.207	0
19010519	0	10.3	0	0	2.647	1.477	0.6	64.13	0
19010520	0	9.1	0	0	2.449	1.312	0.49	62.328	0
19010521	0.2	9.9	0	0.2	2.598	1.342	0.409	60.777	0
19010522	0	9.3	0	0	2.503	1.252	0.347	59.178	0
19010523	0	8.8	0	0	2.424	1.171	0.292	57.715	0
19010524	0	11.3	0	0	2.873	1.344	0.248	56.123	0
19010525	6.2	15.5	0	6.2	3.625	1.634	0.206	60.483	0
19010526	4.7	16.1	0	4.7	3.743	1.86	0.337	62.986	0
19010527	5	16.1	0	5	3.755	1.966	0.437	65.583	0
19010528	2.3	15.5	0	2.3	3.659	2.017	0.565	65.301	0
19010529	2.6	16.9	0	2.6	3.92	2.149	0.55	65.202	0
19010530	2	18.2	0	2	4.164	2.279	0.544	64.379	0
19010531	0.6	20	0	0.6	4.499	2.423	0.502	62.054	0
19010601	0	23.3	0	0	5.105	2.623	0.397	59.034	0
19010602	6.3	21.8	0	6.3	4.846	2.334	0.288	62.712	0
19010603	25.4	17.7	0	25.4	4.114	2.142	0.425	85.545	0
19010604	0	13.2	0	0	3.305	2.523	2.877	80.145	0
19010605	0	15.6	0	0	3.748	2.646	1.947	75.552	0
19010606	0	16.9	0	0	3.992	2.624	1.361	71.567	0
19010607	0	14	0	0	3.469	2.133	0.975	68.459	0
19010608	0	15.5	0	0	3.749	2.181	0.74	65.538	0
19010609	1.1	18.3	0	1.1	4.267	2.35	0.562	63.726	0
19010610	6.6	15.5	0	6.6	3.759	1.998	0.471	67.857	0
19010611	0	16.2	0	0	3.892	2.24	0.7	64.917	0
19010612	0.2	13.9	0	0.2	3.474	1.891	0.53	62.696	0
19010613	0.9	9.6	0	0.9	2.686	1.398	0.424	61.774	0
19010614	7.2	13.4	0	7.2	3.388	1.731	0.386	66.857	0
19010615	9.6	11.9	0	9.6	3.114	1.759	0.638	74.06	0
19010616	2.2	7.9	0	2.2	2.378	1.525	1.204	73.531	0
19010617	4.2	9.2	0	4.2	2.619	1.665	1.152	74.914	0
19010618	2.1	8.7	0	2.1	2.528	1.644	1.292	74.078	0
19010619	3.1	11.1	0	3.1	2.971	1.906	1.206	74.066	0
19010620	0.1	13.9	0	0.1	3.488	2.237	1.205	70.724	0
19010621	0	15.2	0	0	3.728	2.259	0.906	67.559	0
19010622	0	16.8	0	0	4.023	2.302	0.681	64.576	0
19010623	0.4	19	0	0.4	4.427	2.393	0.512	62.071	0
19010624	11.3	16.6	0	11.3	3.983	2.047	0.398	70.926	0
19010625	5.7	12.3	0	5.7	3.188	1.938	0.922	73.766	0
19010626	0	12.9	0	0	3.297	2.104	1.175	70.487	0
19010627	0	14.1	0	0	3.515	2.121	0.887	67.479	0
19010628	0	15.4	0	0	3.751	2.143	0.676	64.66	0
19010629	0	18.1	0	0	4.243	2.297	0.516	61.847	0
19010630	0.3	18.8	0	0.3	4.366	2.233	0.389	59.525	0
19010701	11.3	17.8	0	11.3	4.177	2.034	0.304	68.487	0
19010702	1.3	15.7	0	1.3	3.787	2.205	0.742	66.84	0
19010703	9.4	12.2	0	9.4	3.142	1.774	0.637	73.829	0
19010704	0.2	14.6	0	0.2	3.575	2.284	1.181	70.564	0
19010705	2.8	13.7	0	2.8	3.404	2.057	0.893	70.414	0
19010706	3.3	13.5	0	3.3	3.362	2.026	0.882	70.806	0
19010707	4.8	15.5	0	4.8	3.718	2.256	0.913	72.437	0
19010708	0	18.1	0	0	4.18	2.609	1.051	68.777	0
19010709	0.4	17.3	0	0.4	4.026	2.356	0.762	66.059	0
19010710	0	17	0	0	3.962	2.204	0.591	63.264	0
19010711	0	17.6	0	0	4.06	2.138	0.449	60.677	0
19010712	0	19.5	0	0	4.39	2.191	0.344	58.142	0
