"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0.3	-13.6	0	0	0	0	0	22.865	0
19010102	0	-15.8	0	0	0	0	0	22.865	0
19010103	0	-16.5	0	0	0	0	0	22.865	0
19010104	0	-14.9	0	0	0	0	0	22.865	0
19010105	0.4	-16.4	0.4	0	0	0	0	22.865	0
19010106	0	-15.1	0.4	0	0	0	0	22.865	0
19010107	0	-10.4	0.4	0	0	0	0	22.865	0
19010108	0	-8.2	0.4	0	0	0	0	22.865	0
19010109	0	-8.9	0.4	0	0	0	0	22.865	0
19010110	0	-10.2	0.4	0	0	0	0	22.865	0
19010111	0.1	-7.5	0.5	0	0	0	0	22.865	0
19010112	0	-6.2	0.5	0	0	0	0	22.865	0
19010113	0	-8.8	0.5	0	0	0	0	22.865	0
19010114	0	-6.9	0.5	0	0	0	0	22.865	0
19010115	0	-7.6	0.5	0	0	0	0	22.865	0
19010116	0	-5.7	0.5	0	0	0	0	22.865	0
19010117	0	-7.8	0.5	0	0	0	0	22.865	0
19010118	0	-7.6	0.5	0	0	0	0	22.865	0
19010119	0.1	-5.6	0.6	0	0	0	0	22.865	0
19010120	4.1	-4	4.7	0	0.044	0.003	0	22.862	0
19010121	4.8	0.5	9.5	0	0.246	0.018	0	22.844	0
19010122	0.9	1.9	7.62	2.78	0.313	0.023	0	25.601	0
19010123	0.1	0.6	7.72	0	0.258	0.025	0	25.576	0
19010124	0	-1.5	7.72	0	0.163	0.016	0	25.56	0
19010125	1.1	1.6	6.97	1.85	0.313	0.03	0	27.38	0
19010126	6.7	-1.4	13.67	0	0.173	0.019	0	27.361	0
19010127	21.1	1.5	0	34.77	0.317	0.035	0	62.096	0
19010128	8.9	-2.2	8.9	0	0.139	0.055	0.117	61.924	0
19010129	0.8	-3.9	9.7	0	0.055	0.022	0.115	61.787	0
19010130	0.8	-4.8	10.5	0	0.01	0.004	0.113	61.67	0
19010131	0	-4.7	10.5	0	0.016	0.006	0.112	61.552	0
19010201	0.3	-4.1	10.8	0	0.047	0.019	0.111	61.422	0
19010202	6	-4.9	16.8	0	0.005	0.002	0.109	61.311	0
19010203	0.1	-6.5	16.9	0	0	0	0.108	61.203	0
19010204	0	-5.3	16.9	0	0	0	0.107	61.096	0
19010205	0.2	-3.3	17.1	0	0.095	0.037	0.105	60.954	0
19010206	1.9	-3.2	19	0	0.103	0.04	0.104	60.81	0
19010207	1.1	-4.4	20.1	0	0.035	0.014	0.102	60.694	0
19010208	3.8	-7.4	23.9	0	0	0	0.101	60.593	0
19010209	1	-4.1	24.9	0	0.054	0.021	0.1	60.472	0
19010210	2.1	-4.3	27	0	0.043	0.017	0.099	60.356	0
19010211	4.3	-8	31.3	0	0	0	0.097	60.259	0
19010212	1.6	-8.2	32.9	0	0	0	0.096	60.163	0
19010213	3.2	-10.3	36.1	0	0	0	0.095	60.068	0
19010214	0.1	-12.9	36.2	0	0	0	0.094	59.974	0
19010215	0.3	-13.6	36.5	0	0	0	0.093	59.881	0
19010216	2.7	-9.9	39.2	0	0	0	0.092	59.789	0
19010217	2.1	-6.8	41.3	0	0	0	0.092	59.697	0
19010218	0.8	-12.4	42.1	0	0	0	0.091	59.606	0
19010219	0.8	-15.2	42.9	0	0	0	0.09	59.516	0
19010220	1	-12.1	43.9	0	0	0	0.089	59.427	0
19010221	0.1	-11.4	44	0	0	0	0.088	59.339	0
19010222	0	-11.6	44	0	0	0	0.087	59.252	0
19010223	0.7	-6.7	44.7	0	0	0	0.086	59.166	0
19010224	0.4	-3.9	45.1	0	0.084	0.031	0.085	59.05	0
19010225	0.8	-1.6	45.9	0	0.262	0.098	0.084	58.868	0
19010226	0	-0.8	45.9	0	0.329	0.122	0.083	58.663	0
19010227	0	-1.7	45.9	0	0.263	0.097	0.081	58.485	0
19010228	0	1.6	44.05	1.85	0.533	0.196	0.079	60.06	0
19010301	0.1	1	44.15	0	0.492	0.188	0.094	59.778	0
19010302	0.5	1.9	41.87	2.78	0.575	0.218	0.091	62.249	0
19010303	3.6	0.2	45.47	0	0.44	0.176	0.119	61.954	0
19010304	1.3	0.5	46.77	0	0.472	0.188	0.115	61.651	0
19010305	2.1	0.8	48.87	0	0.505	0.199	0.112	61.34	0
19010306	0.7	0.1	49.57	0	0.45	0.176	0.108	61.056	0
19010307	2.3	-0.2	51.87	0	0.43	0.168	0.105	60.783	0
19010308	1.2	-1.2	53.07	0	0.345	0.134	0.102	60.547	0
19010309	0	-2.2	53.07	0	0.258	0.099	0.099	60.349	0
19010310	0	-1.1	53.07	0	0.365	0.14	0.097	60.112	0
19010311	0.2	2.2	49.56	3.71	0.683	0.261	0.095	63.466	0
19010312	0.1	-0.5	49.66	0	0.432	0.177	0.135	63.154	0
19010313	4.2	1.8	51.39	2.47	0.662	0.27	0.131	65.223	0
19010314	1.8	0.5	53.19	0	0.543	0.23	0.161	64.832	0
19010315	0	1.5	51.65	1.54	0.65	0.274	0.155	65.943	0
19010316	1.6	4	43.98	9.27	0.913	0.393	0.172	74.648	0
19010317	0	3.9	35.02	8.96	0.914	0.46	0.375	82.773	0
19010318	0	3.3	27.91	7.11	0.864	0.493	0.703	88.687	0
19010319	0	4.5	17.1	10.81	1.001	0.62	1.063	97.814	0
19010320	8.7	3.8	9	16.8	0.939	0.653	1.894	112.067	0
19010321	6	-4.5	15	0	0.054	0.044	4.157	107.866	0
19010322	6.7	-5.9	21.7	0	0	0	3.339	104.527	0
19010323	5.6	-5.8	27.3	0	0	0	2.785	101.742	0
19010324	0.1	-4.5	27.4	0	0.056	0.041	2.382	99.319	0
19010325	0.1	-3.3	27.5	0	0.193	0.137	2.07	97.112	0
19010326	2.2	-6.2	29.7	0	0	0	1.816	95.296	0
19010327	0.2	-6.4	29.9	0	0	0	1.625	93.671	0
19010328	0.3	-5	30.2	0	0	0	1.469	92.202	0
19010329	0.2	-4.9	30.4	0	0.012	0.008	1.338	90.856	0
19010330	0	-2.3	30.4	0	0.324	0.207	1.227	89.422	0
19010331	0	1.7	28.24	2.16	0.813	0.509	1.116	89.957	0
19010401	0	5.4	14.64	13.6	1.276	0.804	1.157	101.596	0
19010402	0.1	4.9	2.69	12.05	1.228	0.892	2.362	110.392	0
19010403	0	6.9	0	2.69	1.492	1.193	3.814	108.075	0
19010404	4.9	8.4	0	4.9	1.697	1.324	3.376	108.275	0
19010405	0.2	2.3	0	0.2	0.934	0.731	3.412	104.332	0
19010406	7.1	4.3	0	7.1	1.202	0.901	2.755	107.776	0
19010407	1.6	8.7	0	1.6	1.788	1.391	3.323	104.662	0
19010408	1.7	10.7	0	1.7	2.069	1.556	2.806	102	0
19010409	4.5	9.3	0	4.5	1.903	1.389	2.417	102.694	0
