"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0	-13.5	0	0	0	0	0.177	142.146	0
19010102	0	-15.5	0	0	0	0	0.176	141.97	0
19010103	0	-15.9	0	0	0	0	0.174	141.796	0
19010104	0	-15.8	0	0	0	0	0.172	141.624	0
19010105	0	-14.4	0	0	0	0	0.171	141.453	0
19010106	0	-13.2	0	0	0	0	0.169	141.284	0
19010107	0	-11.7	0	0	0	0	0.167	141.117	0
19010108	0	-6.8	0	0	0	0	0.166	140.951	0
19010109	0	-6.9	0	0	0	0	0.164	140.787	0
19010110	0	-6.6	0	0	0	0	0.163	140.624	0
19010111	0	-5.9	0	0	0	0	0.161	140.463	0
19010112	0	-6.8	0	0	0	0	0.16	140.303	0
19010113	0	-6.4	0	0	0	0	0.158	140.145	0
19010114	0	-7.1	0	0	0	0	0.157	139.988	0
19010115	0	-8.3	0	0	0	0	0.156	139.832	0
19010116	0	-5.7	0	0	0	0	0.154	139.678	0
19010117	0	-11	0	0	0	0	0.153	139.525	0
19010118	0	-11.5	0	0	0	0	0.152	139.373	0
19010119	0.3	-9.7	0.3	0	0	0	0.15	139.223	0
19010120	2.3	-3.1	2.6	0	0.075	0.028	0.149	139.046	0
19010121	2.1	1.7	2.54	2.16	0.268	0.1	0.147	140.959	0
19010122	0.6	2.5	0	3.14	0.305	0.117	0.164	143.818	0
19010123	0	1.9	0	0	0.285	0.113	0.192	143.513	0
19010124	0	0.8	0	0	0.244	0.096	0.189	143.228	0
19010125	0.9	1.2	0	0.9	0.265	0.104	0.186	143.838	0
19010126	9.1	0.3	9.1	0	0.23	0.091	0.193	143.554	0
19010127	16.9	0.5	26	0	0.242	0.095	0.19	143.269	0
19010128	5.1	-0.4	31.1	0	0.206	0.081	0.187	143.001	0
19010129	1.8	-1.8	32.9	0	0.146	0.057	0.184	142.76	0
19010130	0.5	-3.3	33.4	0	0.079	0.031	0.182	142.547	0
19010131	0	-3	33.4	0	0.094	0.037	0.18	142.33	0
19010201	1.4	-2.8	34.8	0	0.105	0.041	0.177	142.112	0
19010202	15.3	-2.9	50.1	0	0.102	0.04	0.175	141.897	0
19010203	0	-3.4	50.1	0	0.079	0.031	0.173	141.693	0
19010204	0	-3.8	50.1	0	0.061	0.024	0.171	141.498	0
19010205	6.3	-2.4	56.4	0	0.134	0.052	0.169	141.277	0
19010206	0.8	-0.9	57.2	0	0.214	0.082	0.167	141.028	0
19010207	0.1	-3.5	57.3	0	0.08	0.031	0.165	140.832	0
19010208	0	-4	57.3	0	0.054	0.021	0.163	140.648	0
19010209	0.9	-2.5	58.2	0	0.138	0.053	0.162	140.433	0
19010210	6	-3.6	64.2	0	0.079	0.03	0.16	140.243	0
19010211	2	-6.5	66.2	0	0	0	0.158	140.085	0
19010212	2.1	-6.8	68.3	0	0	0	0.156	139.929	0
19010213	0.2	-9.9	68.5	0	0	0	0.155	139.774	0
19010214	0.3	-11.8	68.8	0	0	0	0.154	139.62	0
19010215	0.3	-11.6	69.1	0	0	0	0.152	139.468	0
19010216	1.6	-10	70.7	0	0	0	0.151	139.317	0
19010217	0.3	-9.3	71	0	0	0	0.15	139.167	0
19010218	0	-12.8	71	0	0	0	0.149	139.018	0
19010219	0.1	-15	71.1	0	0	0	0.147	138.871	0
19010220	0.6	-10.7	71.7	0	0	0	0.146	138.725	0
19010221	0.1	-13	71.8	0	0	0	0.145	138.58	0
19010222	0.1	-13	71.9	0	0	0	0.144	138.436	0
19010223	2.2	-6.8	74.1	0	0	0	0.142	138.294	0
19010224	3.6	-2.3	77.7	0	0.193	0.072	0.141	138.081	0
19010225	4	-1.9	81.7	0	0.225	0.083	0.14	137.858	0
19010226	0	-0.3	81.7	0	0.347	0.128	0.138	137.592	0
19010227	0.3	-1.4	82	0	0.27	0.1	0.136	137.356	0
19010228	2.1	0.9	84.1	0	0.45	0.165	0.134	137.057	0
19010301	0.9	1.3	84.07	0.93	0.488	0.179	0.131	137.677	0
19010302	0.3	0.7	84.37	0	0.449	0.166	0.136	137.375	0
19010303	2.9	0.4	87.27	0	0.432	0.159	0.134	137.082	0
19010304	0.3	1	87.57	0	0.488	0.179	0.132	136.771	0
19010305	3.9	1.5	89.93	1.54	0.537	0.196	0.129	137.986	0
19010306	0	1.5	88.39	1.54	0.545	0.202	0.139	139.185	0
