"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	3.6	-0.7	0	0	0.158	0.042	0.03	85.628	0
19200102	2.5	-1.6	2.5	0	0.126	0.034	0.03	85.564	0
19200103	5.1	-2	7.6	0	0.112	0.03	0.03	85.504	0
19200104	0	-2.9	7.6	0	0.079	0.021	0.03	85.453	0
19200105	0	-3.2	7.6	0	0.068	0.018	0.03	85.405	0
19200106	0	-4.4	7.6	0	0.023	0.006	0.03	85.369	0
19200107	0	-3	7.6	0	0.077	0.02	0.029	85.32	0
19200108	4.1	-1.3	11.7	0	0.144	0.038	0.029	85.253	0
19200109	4.2	-0.9	15.9	0	0.161	0.043	0.029	85.181	0
19200110	2.8	-2.7	18.7	0	0.091	0.024	0.029	85.128	0
19200111	4.1	2.2	19.09	3.71	0.288	0.076	0.029	88.733	0
19200112	10	3.2	15.89	13.2	0.331	0.093	0.038	101.802	0
19200113	4.4	4.7	8.86	11.43	0.396	0.133	0.094	113.005	0
19200114	4.3	1.4	11.92	1.24	0.264	0.101	0.181	113.963	0
19200115	0	-4.2	11.92	0	0.033	0.013	0.191	113.759	0
19200116	0	-3.8	11.92	0	0.051	0.02	0.189	113.55	0
19200117	2.9	2.3	10.8	4.02	0.313	0.12	0.187	117.263	0
19200118	0	3.8	2.15	8.65	0.382	0.153	0.228	125.532	0
19200119	2.9	1.9	0	5.05	0.303	0.132	0.346	130.104	0
19200120	0	0	0	0	0.223	0.101	0.43	129.573	0
19200121	0	-1.9	0	0	0.14	0.063	0.42	129.09	0
19200122	0	-1.8	0	0	0.146	0.066	0.41	128.614	0
19200123	0	-4.3	0	0	0.032	0.014	0.401	128.199	0
19200124	0	-7.1	0	0	0	0	0.394	127.805	0
19200125	0	-6.2	0	0	0	0	0.386	127.419	0
19200126	0	-3.6	0	0	0.068	0.03	0.379	127.01	0
19200127	1.6	-6.5	1.6	0	0	0	0.372	126.638	0
19200128	0.6	-4.9	2.2	0	0.005	0.002	0.365	126.271	0
19200129	0	-7.6	2.2	0	0	0	0.359	125.912	0
19200130	0	-7.3	2.2	0	0	0	0.353	125.559	0
19200131	0	-5.5	2.2	0	0	0	0.347	125.212	0
19200201	8.1	-3.4	10.3	0	0.085	0.037	0.341	124.834	0
19200202	0	-1.5	10.3	0	0.189	0.082	0.335	124.417	0
19200203	0	-0.4	10.3	0	0.252	0.108	0.328	123.981	0
19200204	0	-2	10.3	0	0.167	0.072	0.321	123.588	0
19200205	0	-4.2	10.3	0	0.045	0.019	0.315	123.254	0
19200206	0	-5.7	10.3	0	0	0	0.31	122.944	0
19200207	0	-5.8	10.3	0	0	0	0.305	122.639	0
19200208	0	-5	10.3	0	0	0	0.301	122.338	0
19200209	0	-6.3	10.3	0	0	0	0.296	122.042	0
19200210	13.7	-1.1	24	0	0.239	0.1	0.292	121.65	0
19200211	2.6	1.3	25.67	0.93	0.392	0.164	0.286	122.13	0
19200212	0	-1	25.67	0	0.253	0.106	0.293	121.731	0
19200213	0	-3.1	25.67	0	0.122	0.051	0.287	121.393	0
19200214	3.6	-2.3	29.27	0	0.176	0.073	0.282	121.038	0
19200215	0	-2.3	29.27	0	0.179	0.074	0.277	120.687	0
19200216	0	-5.5	29.27	0	0	0	0.272	120.415	0
19200217	0	-2.8	29.27	0	0.151	0.062	0.269	120.084	0
19200218	0	-1.4	29.27	0	0.25	0.103	0.264	119.717	0
19200219	0	-2.2	29.27	0	0.198	0.081	0.259	119.377	0
19200220	0	-2	29.27	0	0.215	0.088	0.255	119.034	0
19200221	0	-2.3	29.27	0	0.197	0.08	0.25	118.704	0
19200222	0	-1.3	29.27	0	0.274	0.111	0.246	118.347	0
19200223	0	-0.8	29.27	0	0.316	0.128	0.241	117.978	0
19200224	0	-1.2	29.27	0	0.29	0.117	0.237	117.624	0
19200225	0	0.1	29.27	0	0.396	0.159	0.233	117.232	0
19200226	0	-2.2	29.27	0	0.221	0.088	0.228	116.916	0
19200227	6.3	2.4	27.17	8.4	0.592	0.236	0.224	124.856	0
19200228	0	-3.4	27.17	0	0.13	0.056	0.335	124.465	0
19200229	0	0.7	27.17	0	0.47	0.202	0.329	123.934	0
19200301	0	3.1	20.68	6.49	0.678	0.29	0.32	129.814	0
19200302	0	2.2	16.97	3.71	0.611	0.277	0.424	132.823	0
19200303	0	2.5	12.34	4.63	0.646	0.301	0.487	136.665	0
19200304	0	6.3	0	12.34	0.988	0.476	0.578	147.951	0
19200305	0	6.8	0	0	1.047	0.554	0.926	146.471	0
19200306	0	6	0	0	0.99	0.518	0.872	145.081	0
19200307	0	9.9	0	0	1.36	0.703	0.825	143.553	0
19200308	0	8	0	0	1.203	0.614	0.775	142.164	0
19200309	0	-0.5	0	0	0.422	0.213	0.731	141.22	0
19200310	5.8	-3.3	5.8	0	0.162	0.081	0.703	140.436	0
19200311	6.7	-2.6	12.5	0	0.232	0.115	0.68	139.641	0
19200312	6.4	-2.6	18.9	0	0.235	0.116	0.657	138.868	0
19200313	5.2	-2.1	24.1	0	0.287	0.141	0.636	138.091	0
19200314	5.5	-2.6	29.6	0	0.241	0.118	0.615	137.358	0
19200315	0	-1.3	29.6	0	0.376	0.182	0.596	136.58	0
19200316	0	2.4	25.27	4.33	0.763	0.367	0.576	139.967	0
19200317	0	2.5	20.64	4.63	0.783	0.388	0.667	143.542	0
19200318	0	4.8	8.9	11.74	1.036	0.529	0.774	153.979	0
19200319	1.8	3.1	4.21	6.49	0.867	0.481	1.17	158.818	0
19200320	0	1.4	2.97	1.24	0.694	0.399	1.402	158.257	0
19200321	0	3.4	0	2.97	0.922	0.528	1.373	159.326	0
19200322	0	2.4	0	0	0.822	0.474	1.428	157.424	0
19200323	0	2	0	0	0.787	0.448	1.332	155.644	0
19200324	0	1.3	0	0	0.717	0.403	1.246	153.995	0
19200325	0	4.4	0	0	1.082	0.6	1.171	152.224	0
19200326	0	2.3	0	0	0.85	0.465	1.094	150.665	0
19200327	0	5.2	0	0	1.201	0.649	1.03	148.986	0
19200328	3.8	6.9	0	3.8	1.417	0.756	0.964	151.066	0
19200329	0	4.1	0	0	1.096	0.594	1.046	149.426	0
19200330	0	3.6	0	0	1.047	0.561	0.981	147.884	0
19200331	0	4.4	0	0	1.156	0.611	0.923	146.35	0
19200401	20.4	5.3	0	20.4	1.281	0.669	0.868	165.213	0
19200402	1.3	5.5	0	1.3	1.319	0.794	1.762	163.957	0
19200403	14.1	5.9	0	14.1	1.384	0.826	1.686	175.545	0
19200404	0	6.1	0	0	1.423	0.919	2.499	172.127	0
19200405	17.6	3.9	0	17.6	1.153	0.728	2.232	186.767	0
19200406	0	2.8	0	0	1.02	0.707	3.558	182.502	0
19200407	0	3.3	0	0	1.096	0.74	3.12	178.642	0
19200408	0	6.8	0	0	1.573	1.036	2.762	174.844	0
19200409	0	11.2	0	0	2.18	1.401	2.442	171.001	0
19200410	0	14.6	0	0	2.662	1.667	2.149	167.185	0
19200411	0	13	0	0	2.467	1.505	1.887	163.793	0
19200412	0	12.7	0	0	2.448	1.459	1.676	160.658	0
19200413	0	11	0	0	2.232	1.301	1.499	157.858	0
19200414	0	10.5	0	0	2.181	1.245	1.353	155.26	0
19200415	0	12.4	0	0	2.47	1.383	1.228	152.649	0
19200416	0	14.5	0	0	2.791	1.532	1.112	150.005	0
19200417	0	13.6	0	0	2.684	1.444	1.004	147.557	0
19200418	0	15.8	0	0	3.026	1.596	0.911	145.05	0
