"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0	-14	0	0	0	0	5	182.861	0
19010102	0	-15.9	0	0	0	0	4.146	178.715	0
19010103	0	-16.4	0	0	0	0	3.53	175.185	0
19010104	0	-16.2	0	0	0	0	3.065	172.12	0
19010105	0	-14.6	0	0	0	0	2.703	169.417	0
19010106	0	-13.3	0	0	0	0	2.412	167.005	0
19010107	0	-12	0	0	0	0	2.175	164.83	0
19010108	0	-7.2	0	0	0	0	1.977	162.853	0
19010109	0	-7.3	0	0	0	0	1.81	161.043	0
19010110	0	-6.8	0	0	0	0	1.667	159.376	0
19010111	0	-5.8	0	0	0	0	1.544	157.832	0
19010112	0	-6.8	0	0	0	0	1.436	156.396	0
19010113	0	-6.4	0	0	0	0	1.341	155.055	0
19010114	0	-6.9	0	0	0	0	1.257	153.798	0
19010115	0	-8.4	0	0	0	0	1.183	152.615	0
19010116	0	-5.7	0	0	0	0	1.115	151.5	0
19010117	0	-11.3	0	0	0	0	1.055	150.445	0
19010118	0	-11.7	0	0	0	0	1	149.445	0
19010119	0.1	-10	0.1	0	0	0	0.951	148.494	0
19010120	2.2	-3.3	2.3	0	0.067	0.02	0.905	147.569	0
19010121	1.8	1.3	3.17	0.93	0.252	0.074	0.863	147.562	0
19010122	0.5	2.2	0	3.67	0.293	0.087	0.862	150.283	0
19010123	0	1.6	0	0	0.273	0.083	0.992	149.208	0
19010124	0	0.7	0	0	0.239	0.072	0.939	148.197	0
19010125	0.3	0.9	0.3	0	0.252	0.075	0.891	147.231	0
19010126	8.5	0.1	8.8	0	0.221	0.065	0.848	146.318	0
19010127	16.9	0	25.7	0	0.22	0.064	0.808	145.446	0
19010128	4.6	-0.6	30.3	0	0.197	0.057	0.771	144.618	0
19010129	1	-2	31.3	0	0.137	0.039	0.738	143.841	0
19010130	0.3	-3.7	31.6	0	0.06	0.017	0.707	143.117	0
19010131	0	-3.3	31.6	0	0.08	0.023	0.68	142.414	0
19010201	1.4	-3.1	33	0	0.091	0.025	0.654	141.735	0
19010202	15.2	-3.1	48.2	0	0.093	0.026	0.63	141.079	0
19010203	0	-3.4	48.2	0	0.079	0.022	0.607	140.45	0
19010204	0	-4	48.2	0	0.05	0.014	0.586	139.85	0
19010205	6	-2.7	54.2	0	0.118	0.032	0.567	139.251	0
19010206	0.6	-1	54.8	0	0.209	0.056	0.547	138.648	0
19010207	0	-3.8	54.8	0	0.064	0.017	0.529	138.102	0
19010208	0	-4.1	54.8	0	0.049	0.013	0.512	137.577	0
19010209	0.8	-2.8	55.6	0	0.121	0.032	0.497	137.048	0
19010210	6.1	-4	61.7	0	0.056	0.015	0.482	136.551	0
19010211	2.5	-6.8	64.2	0	0	0	0.468	136.083	0
19010212	2.2	-6.9	66.4	0	0	0	0.455	135.628	0
19010213	0.4	-10.1	66.8	0	0	0	0.443	135.185	0
19010214	0.2	-12.2	67	0	0	0	0.431	134.754	0
19010215	0.3	-11.6	67.3	0	0	0	0.42	134.334	0
19010216	1.8	-10.3	69.1	0	0	0	0.41	133.924	0
19010217	0.6	-9.8	69.7	0	0	0	0.4	133.524	0
19010218	0	-13.1	69.7	0	0	0	0.39	133.134	0
19010219	0.2	-15	69.9	0	0	0	0.381	132.753	0
19010220	0.6	-10.8	70.5	0	0	0	0.372	132.381	0
19010221	0.1	-13.3	70.6	0	0	0	0.364	132.017	0
19010222	0	-13	70.6	0	0	0	0.355	131.662	0
19010223	1.9	-7.2	72.5	0	0	0	0.348	131.314	0
19010224	3.6	-2.7	76.1	0	0.164	0.04	0.34	130.934	0
19010225	3.9	-2.2	80	0	0.203	0.05	0.332	130.552	0
19010226	0	-0.7	80	0	0.317	0.077	0.324	130.151	0
19010227	0.2	-1.8	80.2	0	0.24	0.058	0.316	129.777	0
19010228	2.2	0.4	82.4	0	0.412	0.099	0.308	129.37	0
19010301	0.8	1	83.2	0	0.465	0.111	0.3	128.959	0
19010302	0.3	0.3	83.5	0	0.417	0.099	0.293	128.567	0
19010303	2.9	0.1	86.4	0	0.408	0.097	0.285	128.185	0
19010304	0.6	0.7	87	0	0.464	0.109	0.278	127.798	0
19010305	3.4	1.2	89.78	0.62	0.512	0.12	0.271	128.027	0
19010306	0	1.2	89.16	0.62	0.52	0.122	0.275	128.25	0
19010307	1.9	0.4	91.06	0	0.46	0.108	0.279	127.863	0
19010308	7.5	-0.4	98.56	0	0.398	0.093	0.272	127.498	0
19010309	0.2	-0.9	98.76	0	0.36	0.084	0.266	127.148	0
19010310	0	0.4	98.76	0	0.482	0.112	0.26	126.776	0
19010311	0.2	0.9	98.96	0	0.534	0.123	0.253	126.4	0
19010312	0	-0.4	98.96	0	0.423	0.097	0.247	126.056	0
19010313	2.1	0.5	101.06	0	0.513	0.117	0.241	125.698	0
19010314	1.1	0.9	102.16	0	0.558	0.127	0.236	125.335	0
19010315	0.1	2	99.17	3.09	0.671	0.152	0.23	128.043	0
19010316	1.9	3.5	93.35	7.72	0.827	0.194	0.276	135.293	0
19010317	0	3.2	86.55	6.8	0.809	0.208	0.434	141.451	0
19010318	0	3.3	79.44	7.11	0.83	0.23	0.62	147.711	0
19010319	2.1	3.5	73.82	7.72	0.862	0.255	0.869	154.307	0
19010320	22.7	2.8	85.72	10.8	0.801	0.253	1.212	163.642	0
19010321	11.5	-3.1	97.22	0	0.198	0.068	1.875	161.699	0
19010322	11.1	-3.9	108.32	0	0.116	0.039	1.718	159.942	0
19010323	3.6	-4.1	111.92	0	0.096	0.032	1.585	158.325	0
19010324	0.1	-4.1	112.02	0	0.097	0.032	1.47	156.823	0
19010325	1.3	-3.7	113.32	0	0.143	0.046	1.369	155.408	0
19010326	0.2	-5.8	113.52	0	0	0	1.279	154.129	0
19010327	0	-5.9	113.52	0	0	0	1.202	152.927	0
19010328	0.5	-5	114.02	0	0	0	1.133	151.794	0
19010329	0	-5	114.02	0	0	0	1.071	150.723	0
19010330	0	-2.3	114.02	0	0.315	0.096	1.015	149.612	0
19010331	0.5	2.4	110.19	4.33	0.872	0.263	0.959	152.72	0
19010401	4	2.3	110.17	4.02	0.87	0.271	1.121	155.348	0
19010402	0.3	4.1	100.89	9.58	1.097	0.35	1.275	163.303	0
19010403	1.1	8.6	78.51	23.48	1.659	0.571	1.847	184.365	0
19010404	9.1	7.2	50.41	37.2	1.504	0.615	4.39	216.56	0
19010405	0.3	3.9	41.75	8.96	1.109	0.564	13.027	211.929	0
19010406	6.3	7.2	10.85	37.2	1.537	0.76	11.295	237.074	0
19010407	1.8	8.8	0	12.65	1.757	1.005	23.43	225.289	0
19010408	3.7	10	0	3.7	1.93	1.033	16.865	211.091	0
19010409	3.3	9.9	0	3.3	1.937	0.952	11.003	202.436	0
19010410	2	7.4	0	2	1.628	0.757	8.32	195.359	0
19010411	1.2	6.1	0	1.2	1.472	0.652	6.54	189.367	0
19010412	2.3	5.6	0	2.3	1.419	0.602	5.283	185.782	0
19010413	1	3.5	0	1	1.149	0.475	4.63	181.677	0
19010414	1.5	2.8	0	1.5	1.064	0.426	3.962	178.789	0
19010415	1.5	4.1	0	1.5	1.253	0.491	3.54	176.258	0
19010416	0.8	2.8	0	0.8	1.084	0.416	3.201	173.441	0
19010417	2.1	2.2	0	2.1	1.01	0.379	2.855	172.307	0
19010418	0.3	3.4	0	0.3	1.188	0.442	2.724	169.441	0
19010419	2.1	3.9	0	2.1	1.27	0.461	2.415	168.665	0
19010420	0.8	5.8	0	0.8	1.554	0.56	2.336	166.569	0
19010421	0	5.9	0	0	1.581	0.56	2.134	163.875	0
19010422	0	6.7	0	0	1.711	0.592	1.895	161.388	0
19010423	0	6.3	0	0	1.666	0.563	1.694	159.131	0
19010424	0	7.3	0	0	1.828	0.605	1.526	157	0
19010425	0	5.7	0	0	1.602	0.52	1.38	155.1	0
19010426	0	3	0	0	1.207	0.385	1.26	153.455	0
19010427	0.1	11	0	0.1	2.432	0.763	1.163	151.629	0
19010428	2.2	12	0	2.2	2.603	0.802	1.062	151.965	0
19010429	6.2	9.7	0	6.2	2.267	0.701	1.08	156.384	0
19010430	14.7	8.8	0	14.7	2.143	0.692	1.34	169.052	0
19010501	8.5	8	0	8.5	2.032	0.735	2.375	174.442	0
19010502	1.3	9	0	1.3	2.203	0.834	2.974	171.934	0
19010503	0	10	0	0	2.376	0.881	2.682	168.371	0
19010504	0	9.5	0	0	2.312	0.832	2.307	165.232	0
19010505	0.6	7.3	0	0.6	1.973	0.691	2.012	163.129	0
