"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19010101	0.6	-15.9	0	0	0	0	0	4.12	0
19010102	0	-16.4	0	0	0	0	0	4.12	0
19010103	0.5	-17.3	0.5	0	0	0	0	4.12	0
19010104	0.5	-16.3	1	0	0	0	0	4.12	0
19010105	0.3	-16.9	1.3	0	0	0	0	4.12	0
19010106	0.5	-16.6	1.8	0	0	0	0	4.12	0
19010107	0.3	-11.9	2.1	0	0	0	0	4.12	0
19010108	0.1	-7.1	2.2	0	0	0	0	4.12	0
19010109	0	-5.7	2.2	0	0	0	0	4.12	0
19010110	0	-6.6	2.2	0	0	0	0	4.12	0
19010111	0.3	-6	2.5	0	0	0	0	4.12	0
19010112	0.1	-9	2.6	0	0	0	0	4.12	0
19010113	0	-6.7	2.6	0	0	0	0	4.12	0
19010114	0	-8.4	2.6	0	0	0	0	4.12	0
19010115	0	-8.7	2.6	0	0	0	0	4.12	0
19010116	0	-5.9	2.6	0	0	0	0	4.12	0
19010117	0	-3.9	2.6	0	0.044	0	0	4.12	0
19010118	0	-5.3	2.6	0	0	0	0	4.12	0
19010119	0	-4.9	2.6	0	0.004	0	0	4.12	0
19010120	3	-4.3	5.6	0	0.029	0	0	4.12	0
19010121	5	-2.1	10.6	0	0.122	0	0	4.12	0
19010122	1.2	-0.5	11.8	0	0.192	0	0	4.12	0
19010123	0.3	-0.9	12.1	0	0.177	0	0	4.12	0
19010124	0	-2.7	12.1	0	0.101	0	0	4.12	0
19010125	0.6	-0.9	12.7	0	0.183	0	0	4.12	0
19010126	4.9	-1	17.6	0	0.181	0	0	4.12	0
19010127	16.9	-0.9	34.5	0	0.189	0	0	4.12	0
19010128	8.1	-4.4	42.6	0	0.028	0	0	4.12	0
19010129	2.8	-5.8	45.4	0	0	0	0	4.12	0
19010130	0.4	-7.3	45.8	0	0	0	0	4.12	0
19010131	0.1	-6.5	45.9	0	0	0	0	4.12	0
19010201	0.4	-6.4	46.3	0	0	0	0	4.12	0
19010202	6.2	-3	52.5	0	0.101	0	0	4.12	0
19010203	0.3	-5.5	52.8	0	0	0	0	4.12	0
19010204	0.1	-3.6	52.9	0	0.073	0	0	4.12	0
19010205	2.3	-1.1	55.2	0	0.208	0	0	4.12	0
19010206	1	-1.5	56.2	0	0.19	0	0	4.12	0
19010207	0.5	-3.8	56.7	0	0.066	0	0	4.12	0
19010208	1.7	-5.4	58.4	0	0	0	0	4.12	0
19010209	0.7	-5.7	59.1	0	0	0	0	4.12	0
19010210	1.9	-6.9	61	0	0	0	0	4.12	0
19010211	1.4	-11.7	62.4	0	0	0	0	4.12	0
19010212	1.7	-12.6	64.1	0	0	0	0	4.12	0
19010213	0.6	-13.8	64.7	0	0	0	0	4.12	0
19010214	0.7	-14	65.4	0	0	0	0	4.12	0
19010215	0.1	-15.7	65.5	0	0	0	0	4.12	0
19010216	0.9	-14.3	66.4	0	0	0	0	4.12	0
19010217	1.7	-12.3	68.1	0	0	0	0	4.12	0
19010218	0.4	-14.1	68.5	0	0	0	0	4.12	0
19010219	1	-14.4	69.5	0	0	0	0	4.12	0
19010220	2.5	-11.7	72	0	0	0	0	4.12	0
19010221	0.3	-16	72.3	0	0	0	0	4.12	0
19010222	0.1	-10.7	72.4	0	0	0	0	4.12	0
19010223	1.5	-8.2	73.9	0	0	0	0	4.12	0
