"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	4.4	-1.3	0	0	0.134	0.008	0	18.662	0
19200102	1.3	-2.9	1.3	0	0.077	0.005	0	18.657	0
19200103	0	-3.3	1.3	0	0.063	0.004	0	18.653	0
19200104	0	-3.8	1.3	0	0.044	0.003	0	18.65	0
19200105	0	-4.2	1.3	0	0.03	0.002	0	18.648	0
19200106	0	-6.2	1.3	0	0	0	0	18.648	0
19200107	0	-4.6	1.3	0	0.015	0.001	0	18.647	0
19200108	4.8	-2.5	6.1	0	0.096	0.006	0	18.641	0
19200109	5.1	-2.1	11.2	0	0.112	0.007	0	18.634	0
19200110	2.8	-4.1	14	0	0.035	0.002	0	18.632	0
19200111	4.3	0.7	18.3	0	0.225	0.013	0	18.619	0
19200112	9.1	2.1	20.8	6.6	0.284	0.017	0	25.202	0
19200113	2.9	2.6	18.76	4.94	0.307	0.037	0	30.105	0
19200114	5.2	-0.3	23.96	0	0.192	0.032	0.002	30.071	0
19200115	0	-6.2	23.96	0	0	0	0.002	30.069	0
19200116	0	-6.8	23.96	0	0	0	0.002	30.067	0
19200117	3.3	0.1	27.26	0	0.216	0.036	0.002	30.029	0
19200118	0	2.1	23.86	3.4	0.305	0.05	0.002	33.377	0
19200119	3.9	-0.6	27.76	0	0.192	0.037	0.005	33.335	0
19200120	0.9	-2.2	28.66	0	0.124	0.024	0.005	33.306	0
19200121	0	-3.2	28.66	0	0.08	0.016	0.005	33.285	0
19200122	0	-3.2	28.66	0	0.082	0.016	0.005	33.264	0
19200123	0	-6.1	28.66	0	0	0	0.005	33.259	0
19200124	0	-9.3	28.66	0	0	0	0.005	33.254	0
19200125	0	-7.9	28.66	0	0	0	0.005	33.249	0
19200126	0	-4.9	28.66	0	0.005	0.001	0.005	33.243	0
19200127	1.6	-9	30.26	0	0	0	0.005	33.238	0
19200128	0	-7.5	30.26	0	0	0	0.005	33.233	0
19200129	0	-9.1	30.26	0	0	0	0.005	33.228	0
19200130	0	-9.2	30.26	0	0	0	0.005	33.223	0
19200131	0	-7	30.26	0	0	0	0.005	33.218	0
19200201	9.5	-5.7	39.76	0	0	0	0.005	33.213	0
19200202	0	-3.5	39.76	0	0.08	0.015	0.005	33.193	0
19200203	0	-2.7	39.76	0	0.125	0.024	0.005	33.164	0
19200204	0	-2.6	39.76	0	0.132	0.026	0.005	33.133	0
19200205	0	-5.2	39.76	0	0	0	0.005	33.128	0
19200206	0	-6.5	39.76	0	0	0	0.005	33.123	0
19200207	0	-7.9	39.76	0	0	0	0.005	33.118	0
19200208	0	-8	39.76	0	0	0	0.005	33.113	0
19200209	0	-8.4	39.76	0	0	0	0.005	33.108	0
19200210	17.9	-2.9	57.66	0	0.128	0.025	0.005	33.078	0
19200211	4.5	-1.1	62.16	0	0.241	0.046	0.005	33.027	0
19200212	0	-2.8	62.16	0	0.138	0.026	0.005	32.996	0
19200213	0	-3.4	62.16	0	0.102	0.02	0.005	32.971	0
19200214	4.9	-3.9	67.06	0	0.071	0.014	0.004	32.953	0
19200215	0	-2.9	67.06	0	0.138	0.026	0.004	32.923	0
19200216	0	-7.3	67.06	0	0	0	0.004	32.919	0
19200217	0	-4.2	67.06	0	0.054	0.01	0.004	32.905	0
19200218	0	-3.3	67.06	0	0.118	0.023	0.004	32.878	0
19200219	0	-4.5	67.06	0	0.035	0.007	0.004	32.867	0
19200220	0	-3.5	67.06	0	0.107	0.02	0.004	32.843	0
19200221	0	-3.8	67.06	0	0.087	0.017	0.004	32.822	0
19200222	0	-2.4	67.06	0	0.191	0.036	0.004	32.782	0
19200223	0	-3	67.06	0	0.15	0.028	0.004	32.75	0
19200224	0	-2.3	67.06	0	0.205	0.039	0.004	32.707	0
19200225	0	-2.1	67.06	0	0.224	0.042	0.004	32.661	0
19200226	0	-3.3	67.06	0	0.133	0.025	0.004	32.632	0
19200227	7.6	2.4	66.26	8.4	0.589	0.111	0.004	40.917	0
19200228	0	-4.6	66.26	0	0.032	0.008	0.023	40.886	0
19200229	0	-0.6	66.26	0	0.361	0.096	0.023	40.767	0
19200301	0	1.6	64.41	1.85	0.549	0.145	0.022	42.45	0
19200302	0	1	64.41	0	0.507	0.141	0.029	42.28	0
19200303	0	0.9	64.41	0	0.506	0.14	0.029	42.111	0
19200304	0	3.9	55.45	8.96	0.774	0.214	0.028	50.829	0
19200305	0	4.6	44.33	11.12	0.848	0.302	0.1	61.547	0
19200306	0	4.6	33.21	11.12	0.86	0.392	0.342	71.933	0
19200307	0	9.2	7.87	25.34	1.29	0.712	0.89	95.671	0
19200308	0	8.3	0	7.87	1.226	0.945	4.747	97.849	0
19200309	0	-0.7	0	0	0.402	0.318	5.4	92.131	0
19200310	10.7	-3.5	10.7	0	0.142	0.105	3.822	88.204	0
19200311	6.7	-3	17.4	0	0.192	0.135	2.97	85.099	0
19200312	8.1	-2.6	25.5	0	0.234	0.158	2.411	82.53	0
19200313	3.7	-3.5	29.2	0	0.148	0.096	2.015	80.419	0
19200314	4.7	-4.3	33.9	0	0.07	0.044	1.73	78.645	0
19200315	0	-3.2	33.9	0	0.182	0.112	1.516	77.017	0
19200316	0	1.1	33.59	0.31	0.627	0.375	1.339	75.613	0
19200317	0	1.3	32.66	0.93	0.655	0.384	1.2	74.959	0
19200318	0	3.8	24.01	8.65	0.927	0.537	1.139	81.933	0
19200319	2.1	2.2	22.4	3.71	0.768	0.495	1.93	83.218	0
19200320	0	0.5	22.4	0	0.594	0.39	2.115	80.713	0
19200321	0	1.3	21.47	0.93	0.689	0.436	1.767	79.44	0
19200322	0	0.7	21.47	0	0.631	0.392	1.609	77.439	0
19200323	0	0.2	21.47	0	0.583	0.351	1.383	75.705	0
19200324	0	0.1	21.47	0	0.578	0.339	1.209	74.157	0
19200325	0	3.1	14.98	6.49	0.929	0.531	1.068	79.048	0
19200326	0	1	14.98	0	0.697	0.43	1.563	77.055	0
19200327	0	3.1	8.49	6.49	0.951	0.57	1.343	81.632	0
19200328	4.3	5	0	12.79	1.187	0.761	1.889	91.772	0
19200329	0	2	0	0	0.841	0.618	3.737	87.417	0
19200330	0	2.4	0	0	0.898	0.624	2.819	83.974	0
19200331	0	3.3	0	0	1.019	0.675	2.23	81.069	0
19200401	16.6	3.8	0	16.6	1.091	0.694	1.814	95.161	0
19200402	0	4.1	0	0	1.141	0.874	4.604	89.683	0
19200403	0	4.6	0	0	1.216	0.87	3.271	85.542	0
19200404	0	5	0	0	1.279	0.866	2.485	82.191	0
19200405	10.8	3.4	0	10.8	1.086	0.702	1.966	90.323	0
19200406	0	1.8	0	0	0.887	0.64	3.408	86.275	0
19200407	0	2	0	0	0.923	0.631	2.612	83.032	0
19200408	0	5.4	0	0	1.384	0.905	2.088	80.039	0
19200409	0	10	0	0	2.015	1.262	1.682	77.095	0
19200410	0	13.2	0	0	2.467	1.478	1.347	74.27	0
19200411	0	12.4	0	0	2.381	1.365	1.078	71.827	0
19200412	0	12.9	0	0	2.471	1.36	0.882	69.585	0
19200413	2.2	10.4	0	2.2	2.145	1.137	0.728	69.92	0
19200414	0	10.3	0	0	2.149	1.145	0.749	68.026	0
19200415	0	11.8	0	0	2.38	1.227	0.634	66.165	0
19200416	0	14.3	0	0	2.758	1.374	0.535	64.256	0
19200417	0	13	0	0	2.593	1.246	0.447	62.563	0
19200418	0	14.9	0	0	2.89	1.344	0.379	60.84	0
19200419	0	13	0	0	2.635	1.183	0.318	59.339	0
19200420	0	10.4	0	0	2.272	0.989	0.272	58.078	0
19200421	8.9	7.1	0	8.9	1.799	0.762	0.237	65.979	0
19200422	13.5	7.3	0	13.5	1.843	0.915	0.526	78.038	0
19200423	0	9.4	0	0	2.173	1.321	1.448	75.269	0
