"Date"	"P"	"T"	"SWE"	"Infiltration"	"PET"	"AET"	"Drainage"	"SWC"	"Overlandflow"
19200101	4.3	0	0	0	0.184	-0.004	0	9.2695652173913	0
19200102	1.1	-1.2	1.1	0	0.141	0	0	9.2695652173913	0
19200103	0	-1.5	1.1	0	0.131	0	0	9.2695652173913	0
19200104	0	-2.5	1.1	0	0.094	0	0	9.2695652173913	0
19200105	0	-3	1.1	0	0.076	0	0	9.2695652173913	0
19200106	0	-4.7	1.1	0	0.011	0	0	9.2695652173913	0
19200107	0	-3.2	1.1	0	0.069	0	0	9.2695652173913	0
19200108	4.6	-1.5	5.7	0	0.136	0	0	9.2695652173913	0
19200109	5.2	-0.5	10.9	0	0.177	0	0	9.2695652173913	0
19200110	2.6	-2.6	13.5	0	0.095	0	0	9.2695652173913	0
19200111	4	1.4	16.26	1.24	0.257	0	0	10.51	0
19200112	9	2.9	13.86	11.4	0.32	0.006	0	21.904	0
19200113	3.2	4.1	7.48	9.58	0.373	0.07	0.004	31.41	0
19200114	4.2	1.6	9.83	1.85	0.274	0.09	0.063	33.107	0
19200115	0	-4.1	9.83	0	0.038	0.013	0.091	33.003	0
19200116	0	-5.1	9.83	0	0	0	0.089	32.914	0
19200117	3.8	0.8	13.63	0	0.249	0.087	0.088	32.739	0
19200118	0	2.8	8.07	5.56	0.339	0.118	0.084	38.097	0
19200119	3.7	0.3	11.77	0	0.234	0.1	0.236	37.761	0
19200120	1	0.1	12.77	0	0.228	0.096	0.222	37.443	0
19200121	0	-2	12.77	0	0.136	0.057	0.21	37.176	0
19200122	0	-1.5	12.77	0	0.161	0.067	0.2	36.909	0
19200123	0	-4.6	12.77	0	0.019	0.008	0.191	36.71	0
19200124	0	-7.4	12.77	0	0	0	0.184	36.526	0
19200125	0	-6.9	12.77	0	0	0	0.178	36.348	0
19200126	0	-4.1	12.77	0	0.044	0.018	0.172	36.158	0
19200127	1.8	-7.3	14.57	0	0	0	0.166	35.992	0
19200128	0	-6.1	14.57	0	0	0	0.161	35.831	0
19200129	0	-8.4	14.57	0	0	0	0.157	35.674	0
19200130	0	-7.6	14.57	0	0	0	0.152	35.522	0
19200131	0	-5.9	14.57	0	0	0	0.148	35.374	0
19200201	9	-4.2	23.57	0	0.043	0.017	0.144	35.213	0
19200202	0	-2.1	23.57	0	0.157	0.06	0.139	35.014	0
19200203	0	-2.1	23.57	0	0.159	0.061	0.134	34.819	0
19200204	0	-2.6	23.57	0	0.134	0.051	0.129	34.639	0
19200205	0	-4.5	23.57	0	0.028	0.011	0.124	34.504	0
19200206	0	-5.5	23.57	0	0	0	0.121	34.383	0
19200207	0	-6.4	23.57	0	0	0	0.118	34.265	0
19200208	0	-6.3	23.57	0	0	0	0.116	34.149	0
19200209	0	-7.3	23.57	0	0	0	0.113	34.036	0
19200210	14.8	-2	38.37	0	0.184	0.068	0.11	33.858	0
19200211	3.6	0.7	41.97	0	0.355	0.129	0.106	33.623	0
19200212	0	-0.9	41.97	0	0.26	0.094	0.101	33.428	0
19200213	0	-2.5	41.97	0	0.161	0.058	0.097	33.273	0
19200214	4.2	-2.5	46.17	0	0.163	0.058	0.094	33.121	0
19200215	0	-2.1	46.17	0	0.193	0.068	0.091	32.962	0
19200216	0	-6	46.17	0	0	0	0.088	32.874	0
19200217	0	-3.5	46.17	0	0.103	0.036	0.087	32.751	0
19200218	0	-2.8	46.17	0	0.153	0.053	0.085	32.613	0
19200219	0	-3.5	46.17	0	0.106	0.037	0.082	32.494	0
19200220	0	-2.7	46.17	0	0.165	0.057	0.08	32.357	0
19200221	0	-3.1	46.17	0	0.139	0.048	0.078	32.231	0
19200222	0	-1.6	46.17	0	0.252	0.086	0.076	32.069	0
19200223	0	-1.8	46.17	0	0.241	0.081	0.073	31.915	0
19200224	0	-1.4	46.17	0	0.275	0.092	0.071	31.752	0
19200225	0	-0.9	46.17	0	0.319	0.106	0.068	31.578	0
19200226	0	-2.1	46.17	0	0.229	0.076	0.065	31.437	0
19200227	7	3	41.17	12	0.641	0.211	0.063	43.163	0
19200228	0	-2.9	41.17	0	0.171	0.086	0.53	42.547	0
19200229	0	0.1	41.17	0	0.421	0.208	0.483	41.856	0
19200301	0	2.3	37.15	4.02	0.612	0.296	0.435	45.145	0
19200302	0	1.8	34.68	2.47	0.578	0.307	0.704	46.604	0
19200303	0	2.2	30.97	3.71	0.621	0.344	0.859	49.111	0
19200304	0	5.7	16.45	14.52	0.937	0.553	1.189	61.889	0
19200305	0	6.1	0.69	15.76	0.986	0.769	4.778	72.102	0
19200306	0	5.7	0	0.69	0.964	0.898	11.599	60.295	0
19200307	0	10.1	0	0	1.38	1.044	4.097	55.154	0
19200308	0	9.5	0	0	1.344	0.914	2.409	51.831	0
19200309	0	1.1	0	0	0.573	0.361	1.654	49.816	0
19200310	9.2	-2.4	9.2	0	0.248	0.149	1.298	48.369	0
19200311	6.7	-1.5	15.9	0	0.338	0.196	1.082	47.091	0
19200312	7.7	-1.6	23.6	0	0.333	0.187	0.917	45.987	0
19200313	3.4	-1.8	27	0	0.318	0.173	0.79	45.024	0
19200314	4.2	-2.6	31.2	0	0.241	0.128	0.692	44.204	0
19200315	0	-1.6	31.2	0	0.346	0.179	0.616	43.409	0
19200316	0	2.1	27.8	3.4	0.733	0.371	0.549	45.889	0
19200317	0	3.2	21	6.8	0.857	0.465	0.78	51.444	0
19200318	0	5.3	7.71	13.29	1.09	0.681	1.58	62.473	0
19200319	1.4	3.7	0	9.11	0.933	0.736	5.049	65.798	0
19200320	0	1.3	0	0	0.684	0.573	6.837	58.388	0
19200321	0	2.7	0	0	0.846	0.616	3.386	54.386	0
19200322	0	2.2	0	0	0.801	0.536	2.214	51.636	0
19200323	0	1.8	0	0	0.765	0.48	1.617	49.539	0
19200324	0	1.7	0	0	0.763	0.455	1.254	47.83	0
19200325	0	4.5	0	0	1.094	0.625	1.01	46.195	0
19200326	0	2.5	0	0	0.874	0.478	0.813	44.904	0
19200327	0	5.2	0	0	1.202	0.635	0.681	43.588	0
19200328	3.4	6.6	0	3.4	1.382	0.703	0.564	45.721	0
19200329	0	3.7	0	0	1.048	0.566	0.762	44.393	0
19200330	0	3.9	0	0	1.084	0.564	0.633	43.196	0
19200331	0	5.1	0	0	1.244	0.625	0.532	42.039	0
19200401	15.9	5.5	0	15.9	1.307	0.635	0.448	56.856	0
19200402	0	5.8	0	0	1.358	0.958	2.89	53.008	0
19200403	0	6.3	0	0	1.435	0.93	1.896	50.182	0
19200404	0	6.5	0	0	1.476	0.895	1.358	47.929	0
19200405	7.8	5.3	0	7.8	1.335	0.765	1.023	53.941	0
